Year,Area_Code,Area_Name,Broad_group,Detailed_group,Estimate,CI
2018,E09000001,City of London,Total,Total,:,:
2018,E09000002,Barking and Dagenham,Total,Total,215,z
2018,E09000003,Barnet,Total,Total,391,z
2018,E09000004,Bexley,Total,Total,249,z
2018,E09000005,Brent,Total,Total,328,z
2018,E09000006,Bromley,Total,Total,332,z
2018,E09000007,Camden,Total,Total,256,z
2018,E09000008,Croydon,Total,Total,387,z
2018,E09000009,Ealing,Total,Total,343,z
2018,E09000010,Enfield,Total,Total,337,z
2018,E09000011,Greenwich,Total,Total,285,z
2018,E09000012,Hackney,Total,Total,281,z
2018,E09000013,Hammersmith and Fulham,Total,Total,180,z
2018,E09000014,Haringey,Total,Total,276,z
2018,E09000015,Harrow,Total,Total,249,z
2018,E09000016,Havering,Total,Total,258,z
2018,E09000017,Hillingdon,Total,Total,306,z
2018,E09000018,Hounslow,Total,Total,271,z
2018,E09000019,Islington,Total,Total,237,z
2018,E09000020,Kensington and Chelsea,Total,Total,154,z
2018,E09000021,Kingston upon Thames,Total,Total,177,z
2018,E09000022,Lambeth,Total,Total,326,z
2018,E09000023,Lewisham,Total,Total,305,z
2018,E09000024,Merton,Total,Total,208,z
2018,E09000025,Newham,Total,Total,354,z
2018,E09000026,Redbridge,Total,Total,307,z
2018,E09000027,Richmond upon Thames,Total,Total,197,z
2018,E09000028,Southwark,Total,Total,317,z
2018,E09000029,Sutton,Total,Total,204,z
2018,E09000030,Tower Hamlets,Total,Total,314,z
2018,E09000031,Waltham Forest,Total,Total,278,z
2018,E09000032,Wandsworth,Total,Total,323,z
2018,E09000033,Westminster,Total,Total,251,z
2018,E13000001,Inner London,Total,Total,3574,z
2018,E13000002,Outer London,Total,Total,5321,z
2018,E12000001,North East,Total,Total,2616,z
2018,E12000002,North West,Total,Total,7194,z
2018,E12000003,Yorkshire and The Humber ,Total,Total,5404,z
2018,E12000004,East Midlands,Total,Total,4723,z
2018,E12000005,West Midlands,Total,Total,5811,z
2018,E12000006,East,Total,Total,6144,z
2018,E12000007,London,Total,Total,8896,z
2018,E12000008,South East,Total,Total,9005,z
2018,E12000009,South West,Total,Total,5495,z
2018,W92000004,Wales,Total,Total,3104,z
2018,S92000003,Scotland,Total,Total,5364,z
2018,N92000002,Northern Ireland,Total,Total,1856,z
2018,K02000001,United Kingdom,Total,Total,65611,z
2018,E92000001,England,Total,Total,55287,z
2018,E09000001,City of London,United Kingdom,United Kingdom,:,:
2018,E09000002,Barking and Dagenham,United Kingdom,United Kingdom,136,19
2018,E09000003,Barnet,United Kingdom,United Kingdom,243,35
2018,E09000004,Bexley,United Kingdom,United Kingdom,207,25
2018,E09000005,Brent,United Kingdom,United Kingdom,158,25
2018,E09000006,Bromley,United Kingdom,United Kingdom,272,34
2018,E09000007,Camden,United Kingdom,United Kingdom,146,24
2018,E09000008,Croydon,United Kingdom,United Kingdom,262,36
2018,E09000009,Ealing,United Kingdom,United Kingdom,200,36
2018,E09000010,Enfield,United Kingdom,United Kingdom,213,31
2018,E09000011,Greenwich,United Kingdom,United Kingdom,190,28
2018,E09000012,Hackney,United Kingdom,United Kingdom,177,25
2018,E09000013,Hammersmith and Fulham,United Kingdom,United Kingdom,102,17
2018,E09000014,Haringey,United Kingdom,United Kingdom,168,23
2018,E09000015,Harrow,United Kingdom,United Kingdom,138,20
2018,E09000016,Havering,United Kingdom,United Kingdom,231,27
2018,E09000017,Hillingdon,United Kingdom,United Kingdom,195,27
2018,E09000018,Hounslow,United Kingdom,United Kingdom,152,30
2018,E09000019,Islington,United Kingdom,United Kingdom,159,24
2018,E09000020,Kensington and Chelsea,United Kingdom,United Kingdom,78,13
2018,E09000021,Kingston upon Thames,United Kingdom,United Kingdom,122,17
2018,E09000022,Lambeth,United Kingdom,United Kingdom,192,32
2018,E09000023,Lewisham,United Kingdom,United Kingdom,203,29
2018,E09000024,Merton,United Kingdom,United Kingdom,135,21
2018,E09000025,Newham,United Kingdom,United Kingdom,185,32
2018,E09000026,Redbridge,United Kingdom,United Kingdom,179,24
2018,E09000027,Richmond upon Thames,United Kingdom,United Kingdom,145,21
2018,E09000028,Southwark,United Kingdom,United Kingdom,192,29
2018,E09000029,Sutton,United Kingdom,United Kingdom,154,20
2018,E09000030,Tower Hamlets,United Kingdom,United Kingdom,178,32
2018,E09000031,Waltham Forest,United Kingdom,United Kingdom,187,28
2018,E09000032,Wandsworth,United Kingdom,United Kingdom,223,33
2018,E09000033,Westminster,United Kingdom,United Kingdom,128,22
2018,E13000001,Inner London,United Kingdom,United Kingdom,2132,92
2018,E13000002,Outer London,United Kingdom,United Kingdom,3519,115
2018,E12000001,North East,United Kingdom,United Kingdom,2463,58
2018,E12000002,North West,United Kingdom,United Kingdom,6476,115
2018,E12000003,Yorkshire and The Humber ,United Kingdom,United Kingdom,4876,108
2018,E12000004,East Midlands,United Kingdom,United Kingdom,4123,119
2018,E12000005,West Midlands,United Kingdom,United Kingdom,5010,112
2018,E12000006,East,United Kingdom,United Kingdom,5363,133
2018,E12000007,London,United Kingdom,United Kingdom,5651,147
2018,E12000008,South East,United Kingdom,United Kingdom,7791,150
2018,E12000009,South West,United Kingdom,United Kingdom,4977,107
2018,W92000004,Wales,United Kingdom,United Kingdom,2913,53
2018,S92000003,Scotland,United Kingdom,United Kingdom,4893,84
2018,N92000002,Northern Ireland,United Kingdom,United Kingdom,1708,63
2018,K02000001,United Kingdom,United Kingdom,United Kingdom,56245,358
2018,E92000001,England,United Kingdom,United Kingdom,46730,350
2018,E09000001,City of London,Non-United Kingdom,Non-United Kingdom,:,:
2018,E09000002,Barking and Dagenham,Non-United Kingdom,Non-United Kingdom,79,15
2018,E09000003,Barnet,Non-United Kingdom,Non-United Kingdom,148,27
2018,E09000004,Bexley,Non-United Kingdom,Non-United Kingdom,42,11
2018,E09000005,Brent,Non-United Kingdom,Non-United Kingdom,171,26
2018,E09000006,Bromley,Non-United Kingdom,Non-United Kingdom,60,16
2018,E09000007,Camden,Non-United Kingdom,Non-United Kingdom,108,20
2018,E09000008,Croydon,Non-United Kingdom,Non-United Kingdom,124,25
2018,E09000009,Ealing,Non-United Kingdom,Non-United Kingdom,143,31
2018,E09000010,Enfield,Non-United Kingdom,Non-United Kingdom,124,24
2018,E09000011,Greenwich,Non-United Kingdom,Non-United Kingdom,94,20
2018,E09000012,Hackney,Non-United Kingdom,Non-United Kingdom,104,19
2018,E09000013,Hammersmith and Fulham,Non-United Kingdom,Non-United Kingdom,78,15
2018,E09000014,Haringey,Non-United Kingdom,Non-United Kingdom,108,19
2018,E09000015,Harrow,Non-United Kingdom,Non-United Kingdom,110,18
2018,E09000016,Havering,Non-United Kingdom,Non-United Kingdom,27,9
