,,1999-00,,,2000-01,,,2001-02,,,2002-03,,,2003-04,,,2004-05,,,2005-06,,,2006-07,,,2007-08,,,2009-10,,,2010-11,,,2011-12,,,2012-13,,,2013-14,,,2014-15,,,2015-16,,,2016-17,,,2017-18,,,2018-19,,,2019-20,,,2020-21,,,2021-22,,,2022-23,,
Code,Area,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,"10,000","109,800","40,400","10,000 ","137,000 ","65,000 ","12,000","92,900","38,300","11,000","78,700","37,000","10,000","85,800","39,200","10,000","95,600","44,400","10,000","90,600","49,300","10,000","99,200","49,000","10,000","102,000","58,500","9,000","137,000","61,900","8,000","127,000","61,300","8,000","117,000","51,600","9,000","131,000 ","58,300 ","9,000","151,000 ","65,300 ","9,000","144,000 ","61,100 ","10,000","142,000 ","60,000 ","12,000","157,000 ","57,300 ","11,000","148,000 ","60,000 ","12,000","142,000 ","55,200 ","12,000","128,000 ","54,200 ","10,000","142,000","56,700","9,000","167,000","62,200","11,000","147,000","60,700"
E09000002,Barking and Dagenham,"62,000","16,200","15,100"," 71,000 "," 18,100 "," 15,600 ","56,000","18,600","16,200","67,000","19,100","17,000","67,000","18,800","17,400","77,000","19,400","16,600","83,000","20,600","17,900","77,000","20,600","17,600","78,000","21,300","18,600","76,000","23,100","19,400","69,000","22,500","19,400","73,000","22,800","19,600","74,000","23,700 ","20,100 ","77,000","24,600 ","21,000 ","74,000","25,500 ","21,800 ","83,000","25,900 ","22,100 ","88,000","26,700 ","23,300 ","85,000","27,400 ","23,900 ","85,000","28,800 ","25,200 ","85,000","29,400 ","25,700 ","87,000","30,800","26,800","90,000","31,800","28,000","98,000","33,300","28,600"
E09000003,Barnet,"161,000","26,800","18,700"," 156,000 "," 30,800 "," 19,400 ","159,000","30,400","18,700","150,000","32,300","19,700","150,000","33,900","20,000","155,000","32,800","19,900","161,000","35,600","21,200","173,000","36,700","20,400","173,000","38,700","22,000","167,000","41,600","24,300","176,000","38,800","24,100","179,000","39,200","24,200","172,000","41,000 ","25,800 ","167,000","45,500 ","26,800 ","175,000","45,800 ","27,100 ","178,000","49,000 ","27,700 ","180,000","48,600 ","28,800 ","188,000","49,500 ","28,700 ","188,000","51,600 ","29,900 ","192,000","51,600 ","30,700 ","189,000","54,400","32,200","190,000","59,100","33,500","198,000","59,800","34,400"
E09000004,Bexley,"105,000","20,500","17,200"," 116,000 "," 19,800 "," 17,300 ","112,000","22,000","18,300","114,000","21,500","17,800","113,000","21,900","17,700","124,000","22,300","17,700","121,000","24,000","19,400","123,000","24,600","19,600","123,000","26,700","19,800","117,000","27,600","22,100","114,000","27,400","22,600","114,000","28,300","22,300","115,000","28,600 ","23,100 ","118,000","29,600 ","24,400 ","122,000","30,200 ","24,400 ","127,000","30,900 ","24,500 ","125,000","32,300 ","26,100 ","122,000","33,500 ","26,900 ","130,000","34,600 ","26,900 ","126,000","36,000 ","28,000 ","126,000","36,400","28,800","135,000","38,000","29,300","134,000","40,900","31,800"
E09000005,Brent,"122,000","20,000","16,500"," 130,000 "," 22,200 "," 16,800 ","127,000","21,100","16,500","116,000","21,700","16,400","119,000","22,500","16,800","137,000","21,800","16,500","135,000","23,200","17,600","144,000","24,600","18,200","161,000","24,700","18,300","145,000","26,100","19,600","146,000","26,700","19,700","149,000","27,400","20,200","144,000","28,300 ","20,600 ","150,000","29,700 ","21,300 ","147,000","31,200 ","22,700 ","154,000","32,600 ","23,200 ","155,000","34,100 ","24,100 ","155,000","35,400 ","24,700 ","159,000","36,300 ","25,600 ","155,000","37,800 ","26,200 ","152,000","40,400","27,200","149,000","44,100","30,000","170,000","43,600","29,400"
E09000006,Bromley,"163,000","25,100","18,500","167,000 ","26,400 ","19,500 ","164,000","27,400","19,100","160,000","27,700","20,100","150,000","29,200","21,400","169,000","29,200","20,900","173,000","31,400","22,400","177,000","32,800","23,000","181,000","34,400","23,200","163,000","36,500","24,900","161,000","35,900","25,800","168,000","36,400","25,100","169,000","37,200 ","26,900 ","173,000","39,000 ","27,200 ","168,000","40,400 ","28,100 ","171,000","43,500 ","29,800 ","172,000","44,000 ","30,400 ","174,000","45,500 ","32,000 ","177,000","46,600 ","32,800 ","176,000","48,200 ","33,700 ","177,000","49,300","33,800","176,000","54,500","35,800","183,000","56,900","38,100"
E09000007,Camden,"85,000","39,000","20,500","107,000 ","40,000 ","19,700 ","101,000","42,800","19,800","96,000","43,000","21,700","90,000","45,700","21,300","97,000","50,200","23,200","97,000","56,200","24,200","101,000","60,200","25,900","107,000","69,800","26,900","103,000","68,900","28,400","101,000","67,100","29,400","104,000","69,300","30,400","105,000","71,200 ","31,600 ","99,000","78,900 ","32,000 ","104,000","79,200 ","33,100 ","103,000","85,000 ","34,400 ","103,000","88,000 ","35,500 ","101,000","92,600 ","37,300 ","106,000","87,400 ","35,600 ","104,000","96,900 ","38,200 ","100,000","107,000","38,900","108,000","119,000","38,900","111,000","112,000","40,600"
E09000008,Croydon,"152,000","21,500","16,700","162,000 ","22,100 ","17,300 ","153,000","23,500","18,300","166,000","23,400","18,000","165,000","23,300","19,000","175,000","24,300","18,600","173,000","25,800","19,600","171,000","27,200","20,700","179,000","28,100","20,900","166,000","29,700","23,100","173,000","29,000","22,000","171,000","29,700","22,700","174,000","30,700 ","23,900 ","173,000","31,800 ","24,300 ","176,000","32,600 ","25,100 ","178,000","34,200 ","26,300 ","186,000","33,800 ","25,600 ","183,000","35,600 ","27,500 ","187,000","36,500 ","27,800 ","184,000","37,800 ","29,400 ","189,000","38,300","29,100","192,000","40,900","30,400","203,000","41,900","31,800"
