area,1801,1811,1821,1831,1841,1851,1861,1871,1881,1891,1901,1911,1921,1931,1939,1951,1961,1971,1981,1991,2001,2011,2021
City of London,"129,000","121,000","125,000","123,000","124,000","128,000","112,000","75,000","51,000","38,000","27,000","20,000","14,000","10,999","9,000","5,324","4,767","4,246","4,701","4,142","7,181","7,375","8,583"
Barking and Dagenham,"3,000","4,000","5,000","6,000","7,000","8,000","8,000","10,000","13,000","19,000","27,000","39,000","44,000","138,000","184,000","189,430","177,092","160,798","148,979","143,681","163,944","185,911","218,869"
Barnet,"8,000","9,000","11,000","13,000","14,000","15,000","20,000","29,000","41,000","58,000","76,000","118,000","147,000","231,081","296,000","320,438","318,373","306,561","290,197","293,564","314,565","356,386","389,344"
Bexley,"5,000","6,000","7,000","9,000","11,000","12,000","15,000","22,000","29,000","37,000","54,000","60,000","76,000","95,000","179,000","205,400","209,893","217,076","214,355","215,615","218,301","231,997","246,472"
Brent,"2,000","2,000","3,000","3,000","5,000","5,000","6,000","19,000","31,000","65,000","120,000","166,000","184,000","250,824","310,000","311,081","295,893","280,660","251,238","243,025","263,466","311,215","339,816"
Bromley,"8,000","9,000","11,000","12,000","14,000","16,000","22,000","42,000","62,000","83,000","100,000","116,000","127,000","165,000","237,000","267,771","294,440","305,373","294,526","290,609","295,535","309,392","329,991"
Camden,"100,000","128,000","163,000","199,000","229,000","270,000","307,000","342,000","357,000","370,000","377,000","353,000","341,000","325,940","301,000","258,318","245,707","206,739","161,098","170,444","198,022","220,338","210,136"
Croydon,"8,000","10,000","12,000","15,000","20,000","23,000","33,000","60,000","85,000","110,000","143,000","190,000","213,000","272,903","297,000","310,433","327,427","333,868","316,306","313,510","330,584","363,378","390,719"
Ealing,"7,000","8,000","9,000","11,000","13,000","14,000","20,000","31,000","47,000","63,000","95,000","165,000","181,000","225,618","285,000","310,690","301,646","301,111","278,677","275,257","300,943","338,449","367,115"
Enfield,"11,000","13,000","16,000","17,000","18,000","19,000","23,000","30,000","42,000","68,000","105,000","155,000","167,000","201,473","272,000","288,112","273,857","268,000","257,154","257,417","273,565","312,466","329,984"
Greenwich,"35,000","46,000","50,000","56,000","70,000","90,000","125,000","123,000","139,000","175,000","210,000","213,000","237,000","244,000","243,000","235,549","229,810","217,663","209,873","207,650","214,402","254,557","289,068"
Hackney,"50,000","64,000","80,000","105,000","128,000","170,000","218,000","261,000","329,000","372,000","389,000","385,000","379,000","363,583","332,000","265,349","257,522","220,280","179,529","181,248","202,825","246,270","259,146"
Hammersmith and Fulham,"10,000","13,000","15,000","18,000","23,000","30,000","40,000","66,000","115,000","189,000","250,000","275,000","288,000","286,451","259,000","241,431","222,124","187,196","144,616","148,502","165,238","182,493","183,157"
Haringey,"6,000","7,000","9,000","10,000","13,000","14,000","21,000","37,000","73,000","142,000","209,000","271,000","285,000","307,391","292,000","277,316","259,156","240,075","202,650","202,204","216,505","254,926","264,238"
Harrow,"4,000","5,000","5,000","7,000","7,000","8,000","9,000","11,000","13,000","15,000","24,000","42,000","49,000","96,656","190,000","219,494","209,080","203,215","196,159","200,100","206,822","239,056","261,203"
Havering,"6,000","7,000","8,000","9,000","11,000","11,000","12,000","15,000","16,000","20,000","26,000","33,000","38,000","77,229","139,000","192,094","245,598","247,696","239,788","229,492","224,262","237,232","262,052"
Hillingdon,"9,000","11,000","12,000","14,000","17,000","18,000","20,000","21,000","23,000","25,000","29,000","38,000","48,000","83,957","159,000","210,312","228,370","234,887","226,263","231,602","243,006","273,936","305,909"
Hounslow,"14,000","16,000","19,000","22,000","25,000","27,000","32,000","41,000","55,000","68,000","85,000","109,000","117,000","155,537","196,000","211,075","208,893","206,957","198,938","204,397","212,352","253,957","288,181"
Islington,"65,000","83,000","108,000","137,000","168,000","220,000","283,000","337,000","401,000","429,000","436,000","415,000","407,000","391,683","343,000","271,002","261,232","201,875","157,522","164,686","175,789","206,125","216,589"
Kensington and Chelsea,"18,000","25,000","35,000","46,000","58,000","88,000","120,000","177,000","234,000","243,000","250,000","239,000","240,000","239,708","228,000","219,117","218,528","188,226","125,892","138,394","158,921","158,649","143,375"
Kingston upon Thames,"5,000","5,000","6,000","8,000","10,000","12,000","18,000","27,000","36,000","45,000","56,000","68,000","74,000","93,353","129,000","146,615","146,010","140,527","131,236","132,996","147,271","160,060","168,063"
Lambeth,"33,000","49,000","67,000","99,000","129,000","155,000","182,000","236,000","293,000","333,000","384,000","408,000","419,000","421,000","391,000","346,964","341,626","307,514","244,143","244,834","266,170","303,086","317,654"
Lewisham,"16,000","20,000","24,000","26,000","34,000","44,000","67,000","101,000","145,000","191,000","238,000","270,000","287,000","326,844","325,000","303,071","290,582","268,474","230,488","230,983","248,917","275,885","300,553"
Merton,"5,000","6,000","7,000","7,000","8,000","8,000","11,000","17,000","28,000","41,000","62,000","99,000","114,000","157,614","197,000","200,140","189,013","177,324","165,102","168,470","187,919","199,693","215,187"
Newham,"8,000","10,000","12,000","14,000","15,000","22,000","43,000","70,000","142,000","240,000","366,000","427,000","448,000","440,000","381,000","294,017","265,388","237,392","209,128","212,170","243,884","307,984","351,036"
Redbridge,"4,000","5,000","6,000","7,000","7,000","7,000","9,000","12,000","18,000","31,000","66,000","113,000","124,000","179,000","232,000","256,902","250,080","239,888","224,731","226,218","238,623","278,970","310,260"
Richmond upon Thames,"15,000","17,000","20,000","22,000","25,000","28,000","34,000","48,000","61,000","77,000","95,000","124,000","141,000","161,015","178,000","188,100","181,052","174,631","157,304","160,732","172,330","186,990","195,278"
Southwark,"116,000","139,000","175,000","207,000","243,000","292,000","346,000","407,000","514,000","572,000","596,000","579,000","571,000","534,531","456,000","337,638","313,413","262,135","209,735","218,541","244,867","288,283","307,637"
Sutton,"5,000","5,000","6,000","7,000","8,000","8,000","11,000","16,000","24,000","30,000","38,000","54,000","60,000","103,277","167,000","176,151","169,095","169,493","167,547","168,880","179,767","190,146","209,639"
Tower Hamlets,"144,000","180,000","219,000","263,000","310,000","377,000","442,000","512,000","566,000","581,000","597,000","570,000","529,000","488,521","419,000","230,790","205,682","165,777","139,996","161,064","196,083","254,096","310,306"
Waltham Forest,"8,000","9,000","11,000","11,000","12,000","13,000","17,000","28,000","54,000","112,000","198,000","258,000","267,000","283,361","286,000","275,468","248,591","234,682","214,595","212,033","218,335","258,249","278,425"
Wandsworth,"13,000","16,000","19,000","23,000","28,000","36,000","52,000","99,000","173,000","251,000","319,000","369,000","380,000","388,000","358,000","330,883","335,451","302,256","252,240","252,425","260,379","306,995","327,506"
Westminster,"231,000","254,000","298,000","354,000","402,000","462,000","512,000","524,000","513,000","481,000","460,000","421,000","390,000","372,129","347,000","300,332","271,703","239,748","163,892","174,814","181,284","219,396","204,236"
,,,,,,,,,,,,,,,,,,,,,,,
Central London,"478,000","528,000","621,000","722,000","813,000","948,000","1,051,000","1,118,000","1,155,000","1,132,000","1,114,000","1,033,000","985,000","948,776","885,000","783,091","740,705","638,959","455,583","487,794","545,408","605,758","566,330"
Rest of Inner London,"438,000","555,000","690,000","852,000","1,031,000","1,271,000","1,569,000","1,934,000","2,470,000","2,958,000","3,384,000","3,527,000","3,543,000","3,493,436","3,163,000","2,548,643","2,420,502","2,105,200","1,772,741","1,809,055","1,992,502","2,372,628","2,598,272"
Outer London,"181,000","220,000","262,000","304,000","363,000","432,000","568,000","789,000","1,088,000","1,482,000","2,012,000","2,602,000","2,859,000","3,668,644","4,567,000","4,865,073","4,835,887","4,708,184","4,380,274","4,382,850","4,634,147","5,195,555","5,635,125"
Greater London,"1,097,000","1,303,000","1,573,000","1,878,000","2,207,000","2,651,000","3,188,000","3,841,000","4,713,000","5,572,000","6,510,000","7,162,000","7,387,000","8,110,856","8,615,000","8,196,807","7,997,094","7,452,343","6,608,598","6,679,699","7,172,057","8,173,941","8,799,727"
