Borough,Population,Area_Hectares,Population_Density,Population_per_sqkm
Barking and Dagenham,226988,3610.8,62.9,6286.4
Barnet,418291,8674.8,48.2,4821.9
Bexley,260232,6058.1,43.0,4295.6
Brent,350714,4323.3,81.1,8112.3
Bromley,345216,15013.5,23.0,2299.4
Camden,262494,2178.9,120.5,12046.9
Croydon,411580,8650.4,47.6,4758.0
Ealing,385818,5554.4,69.5,6946.1
Enfield,352879,8083.2,43.7,4365.6
Greenwich,300514,4733.4,63.5,6348.8
Hackney,296177,1904.9,155.5,15548.1
Hammersmith and Fulham,206689,1639.7,126.0,12604.9
Haringey,295263,2959.8,99.8,9975.6
Harrow,267120,5046.3,52.9,5293.4
Havering,276649,11235.0,24.6,2462.4
Hillingdon,325182,11570.1,28.1,2810.5
Hounslow,291460,5597.8,52.1,5206.7
Islington,247009,1485.7,166.3,16626.2
Kensington and Chelsea,163255,1212.4,134.7,13465.4
Kingston upon Thames,187973,3726.1,50.4,5044.7
Lambeth,345285,2681.0,128.8,12878.9
Lewisham,325830,3514.9,92.7,9269.9
Merton,218298,3762.5,58.0,5802.0
Newham,372515,3619.8,102.9,10290.9
Redbridge,323302,5641.9,57.3,5730.4
Richmond upon Thames,206708,5740.7,36.0,3600.8
Southwark,336554,2886.2,116.6,11660.8
Sutton,216865,4384.7,49.5,4946.0
Tower Hamlets,341358,1978.1,172.6,17256.6
Waltham Forest,297439,3880.8,76.6,7664.4
Wandsworth,348272,3426.4,101.6,10164.3
Westminster,267274,2148.7,124.4,12438.9
Greater London,9479610,157214.7,60.3,6029.7
