Borough,Population,Area_Hectares,Population_Density,Population_per_sqkm,Rank
Tower Hamlets,341358,1978.1,172.6,17256.6,1
Islington,247009,1485.7,166.3,16626.2,2
Hackney,296177,1904.9,155.5,15548.1,3
Kensington and Chelsea,163255,1212.4,134.7,13465.4,4
Lambeth,345285,2681.0,128.8,12878.9,5
Hammersmith and Fulham,206689,1639.7,126.0,12604.9,6
Westminster,267274,2148.7,124.4,12438.9,7
Camden,262494,2178.9,120.5,12046.9,8
Southwark,336554,2886.2,116.6,11660.8,9
Newham,372515,3619.8,102.9,10290.9,10
