Borough,Population,Area_Hectares,Population_Density,Population_per_sqkm,Rank
Greater London,9479610,157214.7,60.3,6029.7,1
Barnet,418291,8674.8,48.2,4821.9,2
Croydon,411580,8650.4,47.6,4758.0,3
Ealing,385818,5554.4,69.5,6946.1,4
Newham,372515,3619.8,102.9,10290.9,5
Enfield,352879,8083.2,43.7,4365.6,6
Brent,350714,4323.3,81.1,8112.3,7
Wandsworth,348272,3426.4,101.6,10164.3,8
Lambeth,345285,2681.0,128.8,12878.9,9
Bromley,345216,15013.5,23.0,2299.4,10
Tower Hamlets,341358,1978.1,172.6,17256.6,11
Southwark,336554,2886.2,116.6,11660.8,12
