Area code,Area name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
E12000007,London,63800,69800.0,70900.0,69100.0,71400.0,71400.0,71500.0,68300.0,71100.0,79000.0,83600.0,90700.0,95300.0,104000.0,112800.0,118600.0,124500.0
E09000001,City of London,2400,2900.0,3100.0,2900.0,3000.0,2900.0,3100.0,2800.0,2900.0,3200.0,3200.0,3700.0,4200.0,5200.0,5900.0,6700.0,6800.0
E09000002,Barking and Dagenham,300,300.0,300.0,300.0,300.0,300.0,300.0,300.0,200.0,300.0,300.0,300.0,300.0,300.0,300.0,400.0,300.0
E09000003,Barnet,1600,1600.0,1600.0,1500.0,1500.0,1500.0,1700.0,1400.0,2100.0,2300.0,1700.0,1800.0,2100.0,2200.0,2400.0,2400.0,2900.0
E09000004,Bexley,800,800.0,800.0,800.0,700.0,800.0,800.0,600.0,600.0,700.0,800.0,800.0,800.0,800.0,800.0,1000.0,1000.0
E09000005,Brent,800,1200.0,1100.0,900.0,700.0,800.0,900.0,800.0,1000.0,1000.0,1300.0,1500.0,1400.0,1500.0,1700.0,1900.0,1900.0
E09000006,Bromley,1400,1500.0,1700.0,1500.0,1500.0,1600.0,1600.0,1400.0,1400.0,1400.0,1500.0,1800.0,1800.0,1800.0,2200.0,2200.0,2200.0
E09000007,Camden,5000,5300.0,5300.0,4900.0,4900.0,5100.0,4700.0,4400.0,5000.0,5300.0,5700.0,6500.0,7100.0,7800.0,9100.0,9400.0,10200.0
E09000008,Croydon,1300,1300.0,1500.0,1300.0,1300.0,1300.0,1500.0,1500.0,1400.0,1300.0,1600.0,1500.0,1500.0,1500.0,1600.0,1600.0,1800.0
E09000009,Ealing,1200,1200.0,1200.0,1500.0,1200.0,1100.0,1100.0,1100.0,1000.0,1900.0,2000.0,2000.0,1800.0,1600.0,1900.0,1800.0,1900.0
E09000010,Enfield,1100,1100.0,1100.0,1100.0,1000.0,1000.0,1000.0,1000.0,900.0,900.0,1100.0,1100.0,1000.0,1100.0,1300.0,1300.0,1300.0
E09000011,Greenwich,700,700.0,600.0,700.0,800.0,700.0,800.0,700.0,800.0,1000.0,1200.0,1500.0,1700.0,1500.0,1700.0,1900.0,2000.0
E09000012,Hackney,600,600.0,800.0,900.0,900.0,1000.0,900.0,1100.0,1200.0,1400.0,1800.0,2100.0,2300.0,2700.0,3700.0,4000.0,4700.0
E09000013,Hammersmith and Fulham,1400,1700.0,1800.0,1700.0,1900.0,1800.0,1900.0,1800.0,1900.0,2300.0,2700.0,3100.0,3100.0,3400.0,3500.0,3500.0,3700.0
E09000014,Haringey,600,600.0,800.0,800.0,900.0,800.0,800.0,700.0,800.0,700.0,800.0,900.0,900.0,1200.0,1300.0,1500.0,1400.0
E09000015,Harrow,900,1000.0,1000.0,1000.0,1000.0,900.0,1000.0,900.0,900.0,1000.0,1100.0,1200.0,1100.0,1300.0,1400.0,1200.0,1400.0
E09000016,Havering,800,700.0,900.0,800.0,1000.0,800.0,900.0,900.0,1300.0,1300.0,1100.0,1200.0,1300.0,1100.0,1200.0,1500.0,1400.0
