Area code,Area name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
E12000007,London,5455,5525.0,5540.0,5575.0,5915.0,5940.0,6175.0,5985.0,5910.0,6175.0,6210.0,6655.0,6715.0,7035.0,7515.0,7745.0,7990.0
E09000001,City of London,180,190.0,190.0,175.0,180.0,170.0,205.0,185.0,180.0,195.0,190.0,205.0,230.0,255.0,270.0,270.0,295.0
E09000002,Barking and Dagenham,30,30.0,30.0,35.0,35.0,35.0,35.0,35.0,30.0,30.0,30.0,40.0,40.0,35.0,45.0,40.0,35.0
E09000003,Barnet,205,195.0,200.0,200.0,200.0,200.0,205.0,195.0,210.0,215.0,205.0,235.0,250.0,240.0,255.0,245.0,270.0
E09000004,Bexley,85,80.0,75.0,80.0,85.0,95.0,95.0,95.0,90.0,95.0,95.0,105.0,105.0,105.0,100.0,110.0,110.0
E09000005,Brent,120,125.0,130.0,120.0,125.0,145.0,155.0,140.0,145.0,150.0,155.0,165.0,170.0,165.0,185.0,200.0,190.0
E09000006,Bromley,145,150.0,150.0,155.0,165.0,175.0,165.0,165.0,170.0,175.0,160.0,180.0,185.0,180.0,180.0,190.0,200.0
E09000007,Camden,445,425.0,405.0,405.0,445.0,430.0,440.0,415.0,410.0,440.0,445.0,465.0,480.0,510.0,565.0,570.0,600.0
E09000008,Croydon,145,150.0,160.0,155.0,165.0,170.0,175.0,160.0,160.0,155.0,170.0,165.0,155.0,155.0,175.0,185.0,205.0
E09000009,Ealing,145,155.0,160.0,155.0,155.0,150.0,165.0,165.0,160.0,165.0,160.0,175.0,165.0,175.0,190.0,190.0,190.0
E09000010,Enfield,120,115.0,115.0,125.0,115.0,130.0,135.0,130.0,125.0,130.0,140.0,135.0,125.0,135.0,155.0,155.0,150.0
E09000011,Greenwich,70,75.0,65.0,75.0,70.0,75.0,90.0,95.0,90.0,100.0,100.0,120.0,125.0,120.0,125.0,140.0,145.0
E09000012,Hackney,95,100.0,100.0,110.0,110.0,120.0,120.0,130.0,120.0,125.0,140.0,160.0,165.0,180.0,230.0,245.0,285.0
E09000013,Hammersmith and Fulham,175,165.0,180.0,195.0,200.0,205.0,205.0,200.0,195.0,215.0,230.0,240.0,225.0,255.0,260.0,265.0,270.0
E09000014,Haringey,105,100.0,105.0,105.0,120.0,120.0,120.0,120.0,115.0,115.0,110.0,120.0,120.0,130.0,160.0,175.0,175.0
E09000015,Harrow,100,100.0,110.0,110.0,125.0,125.0,135.0,130.0,135.0,135.0,145.0,150.0,140.0,155.0,155.0,155.0,150.0
E09000016,Havering,75,75.0,80.0,75.0,95.0,90.0,90.0,105.0,110.0,115.0,100.0,105.0,105.0,110.0,125.0,125.0,130.0
E09000017,Hillingdon,130,130.0,145.0,130.0,140.0,130.0,135.0,130.0,125.0,140.0,135.0,150.0,150.0,160.0,160.0,155.0,165.0
E09000018,Hounslow,90,90.0,85.0,90.0,105.0,110.0,115.0,120.0,115.0,115.0,110.0,125.0,125.0,130.0,145.0,140.0,150.0
E09000019,Islington,205,210.0,210.0,215.0,235.0,245.0,250.0,245.0,245.0,245.0,250.0,270.0,270.0,280.0,320.0,340.0,370.0
E09000020,Kensington and Chelsea,370,380.0,365.0,370.0,375.0,350.0,365.0,330.0,345.0,375.0,360.0,365.0,375.0,375.0,385.0,400.0,400.0
E09000021,Kingston upon Thames,90,90.0,95.0,90.0,100.0,110.0,110.0,110.0,110.0,105.0,100.0,115.0,105.0,110.0,115.0,120.0,120.0
E09000022,Lambeth,160,170.0,175.0,175.0,185.0,185.0,190.0,195.0,175.0,180.0,180.0,210.0,215.0,255.0,260.0,285.0,295.0
E09000023,Lewisham,70,80.0,80.0,80.0,90.0,90.0,90.0,85.0,90.0,90.0,90.0,105.0,95.0,110.0,120.0,140.0,130.0
E09000024,Merton,105,100.0,100.0,105.0,115.0,110.0,115.0,100.0,100.0,105.0,100.0,120.0,115.0,105.0,115.0,115.0,120.0
E09000025,Newham,45,55.0,50.0,60.0,75.0,85.0,85.0,80.0,75.0,80.0,75.0,95.0,110.0,110.0,120.0,120.0,125.0
E09000026,Redbridge,95,90.0,85.0,100.0,105.0,110.0,115.0,115.0,115.0,110.0,115.0,120.0,110.0,125.0,120.0,130.0,130.0
E09000027,Richmond upon Thames,175,195.0,180.0,195.0,205.0,190.0,180.0,175.0,175.0,195.0,180.0,195.0,190.0,190.0,200.0,185.0,195.0
E09000028,Southwark,130,135.0,145.0,140.0,165.0,175.0,180.0,185.0,180.0,180.0,185.0,190.0,215.0,230.0,265.0,270.0,295.0
E09000029,Sutton,85,80.0,80.0,75.0,80.0,80.0,90.0,95.0,95.0,85.0,80.0,85.0,85.0,90.0,95.0,90.0,95.0
E09000030,Tower Hamlets,135,160.0,165.0,175.0,175.0,180.0,200.0,195.0,210.0,215.0,215.0,245.0,260.0,285.0,300.0,320.0,320.0
E09000031,Waltham Forest,75,70.0,65.0,65.0,85.0,80.0,85.0,80.0,65.0,75.0,80.0,95.0,95.0,95.0,115.0,125.0,135.0
E09000032,Wandsworth,210,220.0,215.0,220.0,235.0,245.0,240.0,225.0,230.0,245.0,240.0,235.0,240.0,285.0,270.0,280.0,275.0
E09000033,Westminster,1055,1045.0,1030.0,1015.0,1065.0,1030.0,1095.0,1050.0,1005.0,1085.0,1130.0,1170.0,1170.0,1195.0,1230.0,1260.0,1270.0
Source: Inter-Departmental Business Register,,,,,,,,,,,,,,,,,,
"Crown copyright, Office for National Statistics, 2018",,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,
"1. ""Licensed Restaurants"" covers workplaces classified as subclass 56.10/1 by the Standard Industrial Classification (SIC 2007). ",,,,,,,,,,,,,,,,,,
Further information on SIC 2007 can be found at:,,,,,,,,,,,,,,,,,,
www.ons.gov.uk/ons/guide-method/classifications/current-standard-classifications/standard-industrial- classification/index.html,,,,,,,,,,,,,,,,,,
2. All figures have been rounded to the nearest 5. Figures may not add exactly due to rounding. Some figures which appear to be zero may not actually be zero.,,,,,,,,,,,,,,,,,,
3. Workplaces with zero employment and enterprises with zero employment have been excluded from this analysis.,,,,,,,,,,,,,,,,,,
"4. In 2015, the IDBR extended the coverage of businesses to include a population of solely PAYE-based businesses that were",,,,,,,,,,,,,,,,,,
"previously excluded because of a risk of duplication. At UK level, 105,000 businesses have been added in 2015. A more detailed",,,,,,,,,,,,,,,,,,
note explaining these changes can be found on our website at:,,,,,,,,,,,,,,,,,,
www.ons.gov.uk/ons/guide-method/method-quality/specific/business-and-energy/uk-business--activity--size-and-location/index.html?format=contrast,,,,,,,,,,,,,,,,,,
5. Data prior to 2009 has been converted from SIC 1992 and SIC 2003 onto SIC 2007 to provide a consistent time series. ,,,,,,,,,,,,,,,,,,
"Caution should be exercised in interpreting the pre-2009 industry sector breakdowns as the conversion process relies on modelling, ",,,,,,,,,,,,,,,,,,
"which is based on assumptions, and may not fully account for changes in the treatment of head office activities before the introduction of SIC07. ",,,,,,,,,,,,,,,,,,
"More information can be found in Appendix 1 of the article 'Size of firms in London, 2001 to 2012'. ",,,,,,,,,,,,,,,,,,
http://www.ons.gov.uk/ons/rel/regional-trends/london-analysis/size-of-firms-in-london--2001-to-2012/index.html ,,,,,,,,,,,,,,,,,,
