Area code,Area name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
E12000007,London,29600,30900.0,32400.0,31400.0,32700.0,31600.0,33900.0,35800.0,38900.0,35900.0,37800.0,41700.0,43700.0,48500.0,53300.0,54200.0,58300.0
E09000001,City of London,800,800.0,1100.0,1500.0,1300.0,1100.0,1100.0,1200.0,1200.0,1400.0,1500.0,1800.0,2000.0,2200.0,2400.0,2300.0,2200.0
E09000002,Barking and Dagenham,400,400.0,400.0,400.0,400.0,300.0,300.0,300.0,400.0,300.0,300.0,300.0,400.0,500.0,500.0,500.0,600.0
E09000003,Barnet,1800,1900.0,1800.0,1500.0,1500.0,1400.0,1500.0,1500.0,1700.0,2600.0,2600.0,2500.0,2000.0,2700.0,3100.0,1800.0,1800.0
E09000004,Bexley,500,600.0,600.0,500.0,600.0,500.0,600.0,600.0,700.0,800.0,700.0,700.0,700.0,700.0,800.0,800.0,1000.0
E09000005,Brent,700,700.0,700.0,600.0,600.0,500.0,600.0,700.0,700.0,800.0,800.0,900.0,900.0,1100.0,1500.0,1700.0,3200.0
E09000006,Bromley,700,600.0,700.0,800.0,700.0,600.0,700.0,800.0,900.0,800.0,1000.0,900.0,900.0,900.0,1100.0,1100.0,1200.0
E09000007,Camden,1600,1700.0,1900.0,1800.0,2000.0,2000.0,2200.0,2100.0,2300.0,2100.0,3100.0,3400.0,3600.0,3900.0,3100.0,3600.0,5200.0
E09000008,Croydon,1000,1000.0,1100.0,1000.0,1100.0,1100.0,1200.0,1300.0,1400.0,1200.0,1200.0,1400.0,1400.0,1400.0,1100.0,1600.0,1700.0
E09000009,Ealing,2700,3000.0,2600.0,1700.0,1800.0,1600.0,2400.0,2100.0,1700.0,900.0,1000.0,1000.0,1000.0,1200.0,1400.0,1500.0,1600.0
E09000010,Enfield,700,700.0,700.0,700.0,700.0,600.0,700.0,700.0,700.0,800.0,700.0,900.0,900.0,1100.0,1200.0,1200.0,1100.0
E09000011,Greenwich,600,800.0,700.0,800.0,800.0,800.0,700.0,800.0,800.0,900.0,800.0,900.0,1000.0,1000.0,1100.0,1400.0,1400.0
E09000012,Hackney,500,400.0,500.0,500.0,500.0,600.0,600.0,700.0,700.0,700.0,700.0,900.0,800.0,1000.0,2300.0,2400.0,1500.0
E09000013,Hammersmith and Fulham,800,900.0,1000.0,900.0,1000.0,900.0,1100.0,1100.0,900.0,700.0,800.0,900.0,1000.0,1100.0,1300.0,1400.0,1400.0
E09000014,Haringey,600,700.0,600.0,600.0,700.0,700.0,700.0,600.0,600.0,700.0,700.0,700.0,800.0,1000.0,1200.0,1200.0,1400.0
E09000015,Harrow,400,500.0,400.0,400.0,500.0,400.0,400.0,500.0,500.0,300.0,300.0,400.0,700.0,800.0,800.0,900.0,1200.0
E09000016,Havering,500,400.0,500.0,800.0,800.0,800.0,1000.0,600.0,700.0,600.0,600.0,500.0,500.0,500.0,700.0,700.0,1200.0
E09000017,Hillingdon,1000,800.0,900.0,1000.0,1100.0,1100.0,1300.0,1500.0,1700.0,1500.0,1500.0,1900.0,2000.0,2100.0,2200.0,2300.0,2200.0
E09000018,Hounslow,1400,900.0,800.0,800.0,1100.0,1000.0,1000.0,1100.0,1400.0,1500.0,1500.0,1500.0,1400.0,1500.0,1700.0,1700.0,1700.0
E09000019,Islington,800,800.0,900.0,900.0,900.0,1000.0,1000.0,1000.0,1100.0,1100.0,1100.0,1400.0,1500.0,1900.0,2300.0,1900.0,2000.0
E09000020,Kensington and Chelsea,1400,1200.0,1500.0,1500.0,1400.0,1500.0,1500.0,1700.0,2000.0,1800.0,1900.0,2100.0,2400.0,1900.0,2100.0,2200.0,1800.0
E09000021,Kingston upon Thames,500,500.0,600.0,600.0,600.0,600.0,500.0,500.0,400.0,600.0,600.0,800.0,800.0,900.0,700.0,800.0,1000.0
E09000022,Lambeth,1000,1300.0,1300.0,1300.0,1300.0,1300.0,1100.0,1100.0,1200.0,1300.0,1300.0,1600.0,1600.0,1800.0,1900.0,2000.0,2000.0
E09000023,Lewisham,300,300.0,400.0,300.0,300.0,800.0,900.0,600.0,600.0,500.0,500.0,600.0,600.0,700.0,1000.0,1000.0,1100.0
E09000024,Merton,400,400.0,500.0,500.0,500.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,700.0,700.0,700.0,700.0
E09000025,Newham,600,600.0,500.0,500.0,500.0,400.0,500.0,500.0,600.0,500.0,500.0,700.0,1100.0,1200.0,1500.0,1400.0,1500.0
E09000026,Redbridge,300,300.0,300.0,300.0,300.0,300.0,300.0,400.0,500.0,400.0,400.0,700.0,600.0,800.0,900.0,900.0,1000.0
E09000027,Richmond upon Thames,500,600.0,600.0,500.0,500.0,500.0,600.0,600.0,700.0,600.0,500.0,600.0,700.0,700.0,900.0,900.0,900.0
E09000028,Southwark,1200,1600.0,1100.0,1000.0,1100.0,800.0,1000.0,1200.0,1400.0,1100.0,1100.0,1300.0,1400.0,1600.0,1900.0,1600.0,1700.0
E09000029,Sutton,300,300.0,400.0,400.0,400.0,400.0,500.0,600.0,500.0,600.0,600.0,600.0,700.0,900.0,900.0,1000.0,1100.0
E09000030,Tower Hamlets,500,600.0,600.0,700.0,800.0,900.0,900.0,1100.0,1000.0,900.0,900.0,1300.0,1500.0,1800.0,1800.0,2000.0,2000.0
E09000031,Waltham Forest,400,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,600.0,800.0,900.0,1000.0
E09000032,Wandsworth,900,800.0,900.0,700.0,800.0,800.0,900.0,1300.0,1200.0,900.0,1000.0,1100.0,1200.0,1400.0,1600.0,1600.0,1700.0
