Area code,Area name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
E12000007,London,2280,2435.0,2905.0,3060.0,3285.0,3440.0,3480.0,3730.0,3760.0,3390.0,3385.0,3740.0,3945.0,4535.0,5295.0,5520.0,5785.0
E09000001,City of London,50,45.0,85.0,110.0,115.0,110.0,115.0,130.0,120.0,125.0,125.0,140.0,135.0,160.0,180.0,180.0,190.0
E09000002,Barking and Dagenham,25,25.0,25.0,35.0,40.0,40.0,35.0,35.0,35.0,30.0,30.0,35.0,45.0,45.0,60.0,60.0,65.0
E09000003,Barnet,130,145.0,155.0,160.0,170.0,210.0,200.0,210.0,200.0,190.0,185.0,180.0,190.0,210.0,245.0,200.0,215.0
E09000004,Bexley,30,35.0,40.0,40.0,45.0,45.0,45.0,50.0,50.0,50.0,50.0,50.0,55.0,60.0,75.0,75.0,85.0
E09000005,Brent,60,75.0,85.0,90.0,85.0,80.0,85.0,100.0,100.0,85.0,85.0,95.0,85.0,110.0,125.0,150.0,170.0
E09000006,Bromley,50,45.0,60.0,70.0,70.0,70.0,80.0,80.0,85.0,75.0,90.0,95.0,115.0,115.0,140.0,145.0,150.0
E09000007,Camden,190,195.0,225.0,235.0,250.0,260.0,250.0,275.0,280.0,240.0,235.0,250.0,265.0,310.0,355.0,380.0,370.0
E09000008,Croydon,65,65.0,80.0,85.0,85.0,100.0,100.0,100.0,100.0,95.0,90.0,105.0,110.0,125.0,145.0,170.0,180.0
E09000009,Ealing,75,75.0,80.0,95.0,100.0,105.0,105.0,115.0,110.0,100.0,105.0,110.0,120.0,130.0,165.0,180.0,195.0
E09000010,Enfield,50,55.0,65.0,70.0,80.0,80.0,85.0,85.0,90.0,90.0,85.0,105.0,100.0,120.0,140.0,150.0,150.0
E09000011,Greenwich,35,45.0,45.0,55.0,65.0,65.0,60.0,55.0,60.0,65.0,60.0,75.0,80.0,90.0,100.0,110.0,115.0
E09000012,Hackney,65,70.0,75.0,90.0,100.0,105.0,105.0,105.0,105.0,105.0,110.0,130.0,130.0,155.0,200.0,210.0,215.0
E09000013,Hammersmith and Fulham,70,75.0,100.0,95.0,105.0,130.0,130.0,140.0,100.0,85.0,95.0,100.0,110.0,120.0,150.0,150.0,165.0
E09000014,Haringey,60,65.0,60.0,65.0,85.0,95.0,85.0,90.0,80.0,80.0,85.0,100.0,110.0,125.0,160.0,175.0,190.0
E09000015,Harrow,45,55.0,50.0,60.0,65.0,65.0,70.0,75.0,75.0,65.0,65.0,70.0,80.0,95.0,110.0,115.0,115.0
E09000016,Havering,30,30.0,40.0,45.0,50.0,50.0,50.0,40.0,50.0,50.0,50.0,60.0,65.0,75.0,90.0,95.0,120.0
E09000017,Hillingdon,40,40.0,55.0,65.0,75.0,75.0,80.0,95.0,95.0,90.0,85.0,95.0,95.0,105.0,130.0,140.0,140.0
E09000018,Hounslow,50,55.0,65.0,60.0,65.0,65.0,70.0,85.0,95.0,90.0,90.0,95.0,95.0,95.0,120.0,130.0,135.0
E09000019,Islington,140,125.0,145.0,140.0,165.0,165.0,165.0,175.0,185.0,165.0,145.0,170.0,180.0,190.0,210.0,210.0,205.0
E09000020,Kensington and Chelsea,95,100.0,130.0,135.0,130.0,135.0,130.0,140.0,150.0,125.0,120.0,135.0,135.0,135.0,135.0,145.0,145.0
E09000021,Kingston upon Thames,40,40.0,55.0,55.0,50.0,65.0,70.0,75.0,70.0,65.0,70.0,75.0,75.0,90.0,105.0,110.0,105.0
E09000022,Lambeth,85,95.0,105.0,115.0,115.0,115.0,115.0,120.0,120.0,125.0,120.0,145.0,150.0,170.0,200.0,205.0,220.0
E09000023,Lewisham,40,40.0,55.0,55.0,55.0,65.0,65.0,80.0,85.0,65.0,70.0,80.0,80.0,95.0,145.0,140.0,150.0
E09000024,Merton,35,45.0,45.0,45.0,45.0,50.0,50.0,45.0,55.0,55.0,60.0,60.0,65.0,80.0,105.0,115.0,120.0
E09000025,Newham,35,40.0,35.0,45.0,45.0,55.0,55.0,55.0,65.0,55.0,55.0,65.0,85.0,105.0,135.0,145.0,155.0
E09000026,Redbridge,35,35.0,40.0,40.0,45.0,50.0,55.0,55.0,60.0,60.0,60.0,70.0,75.0,95.0,110.0,115.0,135.0
E09000027,Richmond upon Thames,50,60.0,75.0,75.0,75.0,80.0,85.0,85.0,85.0,75.0,75.0,75.0,85.0,95.0,115.0,120.0,125.0
E09000028,Southwark,90,105.0,115.0,125.0,130.0,115.0,125.0,130.0,130.0,125.0,125.0,140.0,145.0,165.0,185.0,180.0,205.0
E09000029,Sutton,20,20.0,30.0,30.0,40.0,45.0,45.0,60.0,50.0,50.0,50.0,55.0,65.0,75.0,90.0,95.0,105.0
E09000030,Tower Hamlets,65,80.0,85.0,90.0,100.0,105.0,110.0,100.0,105.0,100.0,95.0,120.0,145.0,205.0,235.0,245.0,245.0
E09000031,Waltham Forest,40,35.0,50.0,55.0,60.0,70.0,65.0,70.0,75.0,65.0,60.0,70.0,85.0,115.0,140.0,155.0,160.0
