Region,Local Authority,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches,Other vehicles,Total
E09000001,City of London,4.298,0.217,0.394,0.145,0.02,0.063,5.137
E09000002,Barking and Dagenham,52.548,2.096,5.884,1.424,0.253,0.625,62.83
E09000003,Barnet,129.289,4.024,7.551,0.498,0.589,1.093,143.044
E09000004,Bexley,96.535,4.973,10.502,1.3,0.322,1.453,115.085
E09000005,Brent,86.992,3.06,7.75,1.088,0.501,0.63,100.021
E09000006,Bromley,135.927,6.283,10.256,0.861,0.537,1.261,155.125
E09000007,Camden,50.651,3.223,4.075,0.633,0.204,0.608,59.394
E09000008,Croydon,127.953,5.068,10.583,0.878,0.536,1.029,146.047
E09000009,Ealing,107.459,4.078,8.718,1.29,0.665,0.708,122.918
E09000010,Enfield,111.362,3.283,9.815,1.843,0.493,1.599,128.395
E09000011,Greenwich,70.697,3.341,5.716,0.849,0.407,1.383,82.393
E09000012,Hackney,43.271,2.756,3.844,0.456,0.438,1.013,51.778
E09000013,Hammersmith and Fulham,41.884,4.348,3.467,0.401,0.436,0.46,50.996
E09000014,Haringey,63.005,2.827,5.135,0.729,1.767,0.572,74.035
E09000015,Harrow,91.404,2.127,6.831,0.372,1.586,0.616,102.936
E09000016,Havering,100.855,3.907,10.604,1.409,0.449,1.707,118.931
E09000017,Hillingdon,117.846,4.073,9.843,1.513,0.914,1.007,135.196
E09000018,Hounslow,97.481,3.395,10.039,3.206,0.816,1.26,116.197
E09000019,Islington,39.663,2.852,3.216,0.281,0.249,0.604,46.865
E09000020,Kensington and Chelsea,47.365,3.073,1.82,0.146,0.213,0.233,52.85
E09000021,Kingston upon Thames,62.245,3.361,3.894,0.195,0.205,0.521,70.421
E09000022,Lambeth,65.253,4.605,4.784,0.309,0.37,0.641,75.962
E09000023,Lewisham,73.845,3.688,5.855,0.657,0.348,0.665,85.058
E09000024,Merton,67.15,3.427,5.058,0.697,1.531,0.781,78.644
E09000025,Newham,61.284,1.737,5.117,1.023,0.293,0.726,70.18
E09000026,Redbridge,93.836,2.577,6.708,0.478,1.742,1.461,106.802
E09000027,Richmond upon Thames,74.145,4.398,3.73,0.201,1.086,0.362,83.922
E09000028,Southwark,61.523,3.793,5.743,0.506,0.814,1.12,73.499
E09000029,Sutton,79.567,4.207,8.131,0.732,0.405,0.689,93.731
E09000030,Tower Hamlets,38.711,2.371,3.486,0.527,0.274,1.789,47.158
E09000031,Waltham Forest,71.999,2.786,6.746,0.875,0.364,1.002,83.772
E09000032,Wandsworth,98.264,6.543,8.471,0.645,0.575,0.41,114.908
E09000033,Westminster,58.783,2.999,3.198,0.234,0.389,1.079,66.682
,,,,,,,,
E12000001,North East,981.741,38.959,89.204,16.995,7.093,15.909,1149.901
E12000002,North West,3056.294,111.635,317.241,62.469,19.994,45.39,3613.023
E12000003,Yorkshire and the Humber,2110.308,100.108,209.433,50.773,13.207,45.374,2529.203
E12000004,East Midlands,2001.165,103.742,235.776,49.566,13.571,51.421,2455.241
E12000005,West Midlands,2675.195,101.468,339.091,62.102,15.693,46.4,3239.949
E12000006,East of England,2757.018,135.828,289.519,54.783,15.681,61.632,3314.461
E12000007,London,2523.09,115.496,206.964,26.401,19.791,29.17,2920.912
E12000008,South East,4248.073,200.11,435.629,65.663,24.801,54.151,5028.427
E12000009,South West,2570.888,144.553,297.381,47.998,16.425,68.533,3145.778
E92000001,England,22923.771999999997,1051.899,2420.238,436.75,146.256,417.98,27396.894999999997
W92000004,Wales,1357.007,48.845,143.276,21.705,10.284,35.796,1616.913
S92000003,Scotland,2076.774,59.728,194.482,36.445,17.553,63.66,2448.642
,Vehicle under disposal2,647.512,25.267,57.819,9.419,2.822,11.751,754.59
,Region / country unknown3,23.034,5.429,6.625,1.458,0.744,4.526,41.816
K03000001,Great Britain,27028.099,1191.1680000000001,2822.4399999999996,505.777,177.659,533.713,32258.855999999996
