ONS CHD LA Code,ONS SNAC LA Code,Local Authority,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches,Other vehicles,Total
E09000001,00AA,City of London,2.905,0.182,0.336,0.123,0.027,0.114,3.6869999999999994
E09000002,00AB,Barking and Dagenham,55.619,1.996,5.637,0.988,0.24,0.675,65.155
E09000003,00AC,Barnet,135.576,4.614,8.26,0.486,0.7,1.163,150.79899999999998
E09000004,00AD,Bexley,100.047,4.721,11.354,1.352,0.532,1.844,119.85
E09000005,00AE,Brent,88.981,3.877,9.225,1.137,1.647,0.602,105.469
E09000006,00AF,Bromley,141.314,6.188,11.356,0.695,0.412,1.431,161.396
E09000007,00AG,Camden,49.316,3.273,4.323,0.582,0.228,0.592,58.31400000000001
E09000008,00AH,Croydon,130.776,5.036,10.639,0.535,0.431,0.78,148.19700000000003
E09000009,00AJ,Ealing,112.839,5.21,10.115,1.293,0.793,0.71,130.96
E09000010,00AK,Enfield,114.971,3.206,10.68,1.748,0.34,1.598,132.543
E09000011,00AL,Greenwich,72.358,3.351,5.875,0.623,0.295,0.799,83.30100000000002
E09000012,00AM,Hackney,41.507,3.186,3.748,0.156,0.379,1.007,49.98299999999999
E09000013,00AN,Hammersmith and Fulham,42.57,4.54,2.744,0.239,0.157,0.43,50.67999999999999
E09000014,00AP,Haringey,61.668,3.295,5.219,0.517,2.093,0.489,73.28099999999999
E09000015,00AQ,Harrow,96.54,2.088,6.189,0.42,0.326,0.928,106.491
E09000016,00AR,Havering,106.048,4.121,11.425,1.098,0.302,1.911,124.905
E09000017,00AS,Hillingdon,126.361,4.172,13.766,1.309,0.918,1.359,147.88500000000002
E09000018,00AT,Hounslow,91.296,3.98,7.785,1.657,0.497,1.035,106.25
E09000019,00AU,Islington,37.28,3.268,2.945,0.2,0.165,0.645,44.50300000000001
E09000020,00AW,Kensington and Chelsea,45.062,3.655,1.938,0.094,0.16,0.215,51.124
E09000021,00AX,Kingston upon Thames,63.468,3.389,5.188,0.184,0.246,0.572,73.047
E09000022,00AY,Lambeth,62.435,5.166,5.074,0.206,0.309,0.463,73.65299999999999
E09000023,00AZ,Lewisham,73.258,3.713,6.037,0.477,0.324,0.643,84.452
E09000024,00BA,Merton,69.733,3.682,5.893,0.588,1.927,0.723,82.546
E09000025,00BB,Newham,62.905,2.133,5.501,0.608,1.508,1.364,74.019
E09000026,00BC,Redbridge,99.959,2.67,7.086,0.363,0.513,1.277,111.86800000000001
E09000027,00BD,Richmond upon Thames,76.543,4.631,3.921,0.189,1.234,0.368,86.886
E09000028,00BE,Southwark,58.798,4.086,5.456,0.417,1.251,1.576,71.584
E09000029,00BF,Sutton,81.896,4.047,7.43,0.589,0.231,0.783,94.97599999999998
E09000030,00BG,Tower Hamlets,41.005,2.692,3.376,0.446,0.256,2.211,49.986
E09000031,00BH,Waltham Forest,74.998,3.043,7.056,0.562,0.344,0.929,86.932
E09000032,00BJ,Wandsworth,83.135,7.237,5.509,0.426,0.473,0.35,97.13
E09000033,00BK,Westminster,54.447,3.4,3.051,0.13,0.314,0.906,62.248000000000005
,,Local Authority unknown,1.767,0.594,0.567,0.073,0.051,0.189,3.241
,,,,,,,,,
E12000001,A,North East,1037.1819999999998,40.06099999999999,107.771,15.230999999999998,6.837,18.986,1226.0679999999998
E12000002,B,North West,3083.7290000000003,116.19,308.67199999999997,61.653,17.749,54.72700000000001,3642.72
E12000003,D,Yorkshire and the Humber,2241.614,100.24600000000002,245.167,46.53399999999999,12.934000000000001,53.263,2699.7580000000003
E12000004,E,East Midlands,2156.8669999999997,103.906,267.243,44.955,13.075999999999999,59.86100000000001,2645.908
E12000005,F,West Midlands,2744.26,103.11900000000001,377.915,60.382,15.83,52.76399999999999,3354.27
E12000006,G,East of England,2920.9570000000003,138.513,329.42600000000004,48.45199999999999,14.498999999999999,70.77100000000002,3522.618000000001
E12000007,H,London,2557.3810000000003,124.44199999999998,214.704,20.51,19.622999999999998,30.681,2967.3409999999985
E12000008,J,South East,4605.5960000000005,207.46,507.385,61.975,24.655,63.667,5470.737999999999
E12000009,K,South West,2747.95,149.98600000000002,368.714,44.293,16.901000000000003,82.091,3409.935
E92000001,921,England,24095.536000000004,1083.9230000000002,2726.997,403.985,142.104,486.81100000000004,28939.355999999996
W92000004,924,Wales,1433.333,55.24,168.73700000000002,21.238,10.458000000000002,43.97,1732.9759999999999
S92000003,923,Scotland,2254.5170000000007,68.62400000000001,240.22699999999995,36.370999999999995,16.286,68.65699999999998,2684.6820000000002
,,Vehicle under disposal,632.115,25.643,69.902,8.378,2.301,15.407,753.7460000000002
,,Region / country unknown,5.375999999999976,0.9390000000000001,1.9279999999999973,0.15600000000000058,0.053999999999999826,0.9349999999999987,9.387999999999973
K03000001,925,Great Britain,28420.877000000004,1234.3690000000004,3207.7909999999997,470.128,171.203,615.7800000000001,34120.147999999994
