country,city,iso3,year,month,date,currency,hotel_price_usd,meal_price_usd,transport_pass_usd,cost_index,source
USA,New York,USA,2023,1,2023-01-01,USD,135.92,8.81,54.1,89.3,synthetic
USA,New York,USA,2023,2,2023-02-01,USD,156.99,9.54,50.42,97.6,synthetic
USA,New York,USA,2023,3,2023-03-01,USD,172.39,10.0,53.86,105.8,synthetic
USA,New York,USA,2023,4,2023-04-01,USD,175.59,9.82,50.39,105.5,synthetic
USA,New York,USA,2023,5,2023-05-01,USD,165.81,9.0,56.91,102.7,synthetic
USA,New York,USA,2023,6,2023-06-01,USD,192.5,9.45,51.06,111.9,synthetic
USA,New York,USA,2023,7,2023-07-01,USD,212.18,9.46,52.01,120.1,synthetic
USA,New York,USA,2023,8,2023-08-01,USD,187.83,9.86,54.99,112.2,synthetic
USA,New York,USA,2023,9,2023-09-01,USD,166.38,9.8,61.66,106.0,synthetic
USA,New York,USA,2023,10,2023-10-01,USD,155.82,9.26,50.56,96.7,synthetic
USA,New York,USA,2023,11,2023-11-01,USD,169.0,10.2,53.19,104.5,synthetic
USA,New York,USA,2023,12,2023-12-01,USD,180.28,9.08,56.06,108.3,synthetic
USA,New York,USA,2024,1,2024-01-01,USD,170.64,9.86,51.12,103.9,synthetic
USA,New York,USA,2024,2,2024-02-01,USD,164.05,9.62,54.44,102.1,synthetic
USA,New York,USA,2024,3,2024-03-01,USD,172.29,9.68,56.17,106.1,synthetic
USA,New York,USA,2024,4,2024-04-01,USD,161.93,9.72,55.99,102.0,synthetic
USA,New York,USA,2024,5,2024-05-01,USD,142.29,9.37,51.85,92.0,synthetic
USA,New York,USA,2024,6,2024-06-01,USD,183.4,9.39,59.23,111.2,synthetic
USA,New York,USA,2024,7,2024-07-01,USD,179.89,10.11,47.3,106.5,synthetic
USA,New York,USA,2024,8,2024-08-01,USD,188.1,9.65,55.82,112.2,synthetic
USA,New York,USA,2024,9,2024-09-01,USD,170.23,10.01,52.31,104.4,synthetic
USA,New York,USA,2024,10,2024-10-01,USD,155.1,10.04,52.9,98.6,synthetic
USA,New York,USA,2024,11,2024-11-01,USD,144.62,8.9,50.17,91.5,synthetic
USA,New York,USA,2024,12,2024-12-01,USD,200.96,9.63,56.21,117.5,synthetic
USA,New York,USA,2025,1,2025-01-01,USD,155.56,9.64,55.97,99.3,synthetic
USA,New York,USA,2025,2,2025-02-01,USD,157.08,9.81,51.13,98.4,synthetic
USA,New York,USA,2025,3,2025-03-01,USD,156.38,9.33,49.13,96.5,synthetic
USA,New York,USA,2025,4,2025-04-01,USD,167.34,9.28,53.66,102.5,synthetic
USA,New York,USA,2025,5,2025-05-01,USD,167.26,9.81,56.11,104.3,synthetic
USA,New York,USA,2025,6,2025-06-01,USD,191.75,9.31,53.32,112.2,synthetic
USA,San Francisco,USA,2023,1,2023-01-01,USD,74.62,8.09,25.64,52.9,synthetic
USA,San Francisco,USA,2023,2,2023-02-01,USD,79.82,8.37,27.7,56.3,synthetic
USA,San Francisco,USA,2023,3,2023-03-01,USD,66.91,8.45,24.59,50.1,synthetic
USA,San Francisco,USA,2023,4,2023-04-01,USD,70.35,8.99,23.16,51.8,synthetic
