country,city,iso3,year,month,date,intl_arrivals,hotel_occupancy_rate_pct,peak_crowding_index,season,events_flag,source
USA,New York,USA,2023,1,2023-01-01,154545,44.2,1.3,Low,False,synthetic
USA,New York,USA,2023,2,2023-02-01,165539,46.5,11.3,Low,False,synthetic
USA,New York,USA,2023,3,2023-03-01,184939,36.6,1.3,Low,False,synthetic
USA,New York,USA,2023,4,2023-04-01,229288,62.4,40.6,Shoulder,False,synthetic
USA,New York,USA,2023,5,2023-05-01,199540,55.0,26.6,Shoulder,False,synthetic
USA,New York,USA,2023,6,2023-06-01,266455,76.9,58.0,High,False,synthetic
USA,New York,USA,2023,7,2023-07-01,229958,84.6,60.6,High,False,synthetic
USA,New York,USA,2023,8,2023-08-01,276044,72.2,60.3,High,False,synthetic
USA,New York,USA,2023,9,2023-09-01,241497,62.0,37.2,Shoulder,False,synthetic
USA,New York,USA,2023,10,2023-10-01,210928,62.7,32.9,Shoulder,False,synthetic
USA,New York,USA,2023,11,2023-11-01,156151,41.0,8.6,Low,False,synthetic
USA,New York,USA,2023,12,2023-12-01,290815,75.8,64.6,High,False,synthetic
USA,New York,USA,2024,1,2024-01-01,160813,41.0,9.6,Low,False,synthetic
USA,New York,USA,2024,2,2024-02-01,208379,40.4,8.2,Low,False,synthetic
USA,New York,USA,2024,3,2024-03-01,131544,37.5,0.0,Low,False,synthetic
USA,New York,USA,2024,4,2024-04-01,233004,56.2,36.9,Shoulder,False,synthetic
USA,New York,USA,2024,5,2024-05-01,278263,54.5,30.7,Shoulder,False,synthetic
USA,New York,USA,2024,6,2024-06-01,315429,74.4,64.4,High,False,synthetic
USA,New York,USA,2024,7,2024-07-01,278324,77.4,65.3,High,False,synthetic
USA,New York,USA,2024,8,2024-08-01,304982,69.2,48.7,High,False,synthetic
USA,New York,USA,2024,9,2024-09-01,250926,57.0,30.2,Shoulder,True,synthetic
USA,New York,USA,2024,10,2024-10-01,193880,60.5,37.6,Shoulder,False,synthetic
USA,New York,USA,2024,11,2024-11-01,158934,42.2,0.0,Low,False,synthetic
USA,New York,USA,2024,12,2024-12-01,446059,75.3,74.3,High,False,synthetic
USA,New York,USA,2025,1,2025-01-01,204372,44.1,2.6,Low,False,synthetic
