country,city,platform,year,month,date,avg_rating,rating_count,rating_stddev,recent_review_share_90d,sentiment_score,source
USA,New York,Google,2023,1,2023-01-01,4.35,2228,0.38,0.35,0.65,synthetic
USA,New York,Tripadvisor,2023,1,2023-01-01,4.26,1946,0.68,0.22,0.57,synthetic
USA,New York,Booking,2023,1,2023-01-01,4.35,2097,0.58,0.37,0.64,synthetic
USA,New York,Google,2023,2,2023-02-01,4.26,2222,0.37,0.32,0.59,synthetic
USA,New York,Tripadvisor,2023,2,2023-02-01,4.34,2284,0.66,0.14,0.66,synthetic
USA,New York,Booking,2023,2,2023-02-01,4.21,2134,0.25,0.15,0.67,synthetic
USA,New York,Google,2023,3,2023-03-01,4.31,2052,0.46,0.19,0.66,synthetic
USA,New York,Tripadvisor,2023,3,2023-03-01,4.26,2541,0.57,0.31,0.56,synthetic
USA,New York,Booking,2023,3,2023-03-01,4.26,2189,0.54,0.25,0.65,synthetic
USA,New York,Google,2023,4,2023-04-01,4.38,2181,0.77,0.36,0.74,synthetic
USA,New York,Tripadvisor,2023,4,2023-04-01,4.25,2090,0.57,0.35,0.66,synthetic
USA,New York,Booking,2023,4,2023-04-01,4.29,2369,0.52,0.39,0.7,synthetic
USA,New York,Google,2023,5,2023-05-01,4.33,2178,0.71,0.21,0.67,synthetic
USA,New York,Tripadvisor,2023,5,2023-05-01,4.3,1801,0.67,0.18,0.63,synthetic
USA,New York,Booking,2023,5,2023-05-01,4.29,1955,0.61,0.31,0.6,synthetic
USA,New York,Google,2023,6,2023-06-01,4.32,1947,0.94,0.29,0.6,synthetic
USA,New York,Tripadvisor,2023,6,2023-06-01,4.23,2439,0.54,0.16,0.66,synthetic
USA,New York,Booking,2023,6,2023-06-01,4.26,2312,0.74,0.33,0.75,synthetic
USA,New York,Google,2023,7,2023-07-01,4.18,1933,0.56,0.53,0.68,synthetic
USA,New York,Tripadvisor,2023,7,2023-07-01,4.36,1939,0.5,0.22,0.64,synthetic
USA,New York,Booking,2023,7,2023-07-01,4.37,2081,0.58,0.38,0.6,synthetic
USA,New York,Google,2023,8,2023-08-01,4.29,1861,0.56,0.24,0.61,synthetic
USA,New York,Tripadvisor,2023,8,2023-08-01,4.3,2200,0.57,0.34,0.61,synthetic
USA,New York,Booking,2023,8,2023-08-01,4.33,2090,0.53,0.22,0.65,synthetic
USA,New York,Google,2023,9,2023-09-01,4.4,2127,0.43,0.39,0.67,synthetic
USA,New York,Tripadvisor,2023,9,2023-09-01,4.3,1988,0.79,0.24,0.72,synthetic
USA,New York,Booking,2023,9,2023-09-01,4.22,2068,0.81,0.32,0.72,synthetic
USA,New York,Google,2023,10,2023-10-01,4.27,2210,0.89,0.15,0.55,synthetic
USA,New York,Tripadvisor,2023,10,2023-10-01,4.24,2353,0.36,0.36,0.64,synthetic
USA,New York,Booking,2023,10,2023-10-01,4.41,2412,0.65,0.44,0.73,synthetic
USA,New York,Google,2023,11,2023-11-01,4.26,1849,0.51,0.3,0.64,synthetic
USA,New York,Tripadvisor,2023,11,2023-11-01,4.16,2087,0.6,0.35,0.66,synthetic
USA,New York,Booking,2023,11,2023-11-01,4.3,1909,0.33,0.37,0.6,synthetic
USA,New York,Google,2023,12,2023-12-01,4.34,2503,0.37,0.36,0.73,synthetic
USA,New York,Tripadvisor,2023,12,2023-12-01,4.35,1604,0.47,0.17,0.7,synthetic
USA,New York,Booking,2023,12,2023-12-01,4.31,1449,0.55,0.38,0.66,synthetic
USA,New York,Google,2024,1,2024-01-01,4.29,2214,0.44,0.3,0.65,synthetic
USA,New York,Tripadvisor,2024,1,2024-01-01,4.32,2509,0.61,0.41,0.64,synthetic
USA,New York,Booking,2024,1,2024-01-01,4.2,2448,0.62,0.35,0.54,synthetic
USA,New York,Google,2024,2,2024-02-01,4.39,2512,0.56,0.21,0.75,synthetic
