timestamp_normalized,event_type
0.019,exploration_event
0.045,exploration_event
0.072,exploration_event
0.098,exploration_event
0.124,exploration_event
0.151,exploration_event
0.177,exploration_event
0.203,exploration_event
0.230,exploration_event
0.256,exploration_event
0.282,exploration_event
0.309,exploration_event
0.335,exploration_event
0.361,exploration_event
0.388,alternative_explored
0.414,exploration_event
0.440,exploration_event
0.467,alternative_explored
0.493,exploration_event
0.519,exploration_event
0.546,insight_generated
0.572,exploration_event
0.598,exploration_event
0.625,alternative_explored
0.651,exploration_event
0.677,exploration_event
0.703,insight_generated
0.725,narrative_event_new_writing
0.747,insight_generated
0.769,narrative_event_new_writing
0.791,insight_generated
0.813,narrative_event_new_writing
0.835,insight_generated
0.857,narrative_event_new_writing
0.879,insight_generated
0.888,reflection_insight
0.901,narrative_event_new_writing
0.912,reflection_sentence
0.923,narrative_event_refinement
0.934,insight_generated
0.945,narrative_event_new_writing
0.956,reflection_sentence
0.967,narrative_event_refinement
0.978,narrative_event_refinement
0.989,reflection_sentence
