timestamp_normalized,event_type
0.013,exploration_event
0.025,exploration_event
0.038,exploration_event
0.051,narrative_event_new_writing
0.064,exploration_event
0.077,exploration_event
0.090,insight_generated
0.103,narrative_event_new_writing
0.116,exploration_event
0.129,alternative_explored
0.142,exploration_event
0.155,reflection_sentence
0.168,exploration_event
0.181,insight_generated
0.194,narrative_event_refinement
0.207,exploration_event
0.220,exploration_event
0.233,alternative_explored
0.246,exploration_event
0.259,reflection_insight
0.272,exploration_event
0.285,insight_generated
0.298,narrative_event_new_writing
0.311,exploration_event
0.324,reflection_sentence
0.337,exploration_event
0.350,alternative_explored
0.363,exploration_event
0.376,insight_generated
0.389,narrative_event_refinement
0.402,exploration_event
0.415,reflection_inquiry
0.428,exploration_event
0.441,insight_generated
0.454,narrative_event_new_writing
0.467,exploration_event
0.480,alternative_explored
0.493,exploration_event
0.506,reflection_insight
0.519,exploration_event
0.532,insight_generated
0.545,narrative_event_refinement
0.558,exploration_event
0.571,reflection_sentence
0.584,exploration_event
0.597,alternative_explored
0.610,exploration_event
0.623,insight_generated
0.636,narrative_event_new_writing
0.649,exploration_event
0.662,reflection_insight
0.675,exploration_event
0.688,insight_generated
0.701,narrative_event_refinement
0.714,exploration_event
0.727,alternative_explored
0.740,exploration_event
0.753,reflection_sentence
0.766,exploration_event
0.779,insight_generated
0.792,narrative_event_new_writing
0.805,exploration_event
0.818,reflection_inquiry
0.831,exploration_event
0.844,insight_generated
0.857,narrative_event_refinement
0.870,exploration_event
0.883,alternative_explored
0.896,exploration_event
0.909,reflection_insight
0.922,exploration_event
0.948,narrative_event_new_writing
0.961,exploration_event
0.974,reflection_sentence
