timestamp_normalized,event_type
0.023,exploration_event
0.047,exploration_event
0.081,exploration_event
0.115,exploration_event
0.142,exploration_event
0.168,exploration_event
0.195,exploration_event
0.221,exploration_event
0.248,exploration_event
0.274,exploration_event
0.301,exploration_event
0.327,exploration_event
0.354,exploration_event
0.381,alternative_explored
0.407,exploration_event
0.434,exploration_event
0.447,alternative_explored
0.461,alternative_explored
0.475,alternative_explored
0.487,exploration_event
0.514,exploration_event
0.529,alternative_explored
0.540,exploration_event
0.567,exploration_event
0.593,exploration_event
0.620,alternative_explored
0.646,exploration_event
0.673,exploration_event
0.714,insight_generated
0.736,narrative_event_new_writing
0.758,insight_generated
0.779,narrative_event_new_writing
0.801,insight_generated
0.823,narrative_event_new_writing
0.844,insight_generated
0.853,reflection_insight
0.856,alternative_explored
0.866,narrative_event_new_writing
0.887,insight_generated
0.896,reflection_sentence
0.908,narrative_event_refinement
0.919,insight_generated
0.925,alternative_explored
0.930,narrative_event_new_writing
0.941,reflection_sentence
0.952,narrative_event_refinement
0.963,insight_generated
0.974,narrative_event_refinement
0.985,reflection_sentence
0.996,narrative_event_refinement
