timestamp_normalized,event_type
0.008,exploration_event
0.019,exploration_event
0.031,exploration_event
0.042,exploration_event
0.054,exploration_event
0.065,narrative_event_new_writing
0.077,exploration_event
0.088,exploration_event
0.100,alternative_explored
0.111,exploration_event
0.123,insight_generated
0.134,narrative_event_new_writing
0.146,exploration_event
0.157,reflection_sentence
0.169,exploration_event
0.180,exploration_event
0.192,narrative_event_new_writing
0.203,exploration_event
0.215,insight_generated
0.226,reflection_insight
0.238,exploration_event
0.249,narrative_event_new_writing
0.261,exploration_event
0.272,alternative_explored
0.284,exploration_event
0.295,narrative_event_refinement
0.307,exploration_event
0.318,insight_generated
0.330,reflection_sentence
0.341,exploration_event
0.353,narrative_event_new_writing
0.364,exploration_event
0.376,reflection_inquiry
0.387,exploration_event
0.399,narrative_event_new_writing
0.410,alternative_explored
0.422,exploration_event
0.433,insight_generated
0.445,narrative_event_refinement
0.456,reflection_sentence
0.468,exploration_event
0.479,narrative_event_new_writing
0.491,exploration_event
0.502,reflection_inquiry
0.514,exploration_event
0.525,insight_generated
0.537,narrative_event_new_writing
0.548,exploration_event
0.560,alternative_explored
0.571,narrative_event_refinement
0.583,reflection_insight
0.594,exploration_event
0.606,narrative_event_new_writing
0.617,insight_generated
0.629,exploration_event
0.640,reflection_insight
0.652,narrative_event_new_writing
0.663,exploration_event
0.675,alternative_explored
0.686,insight_generated
0.698,narrative_event_refinement
0.709,reflection_sentence
0.721,exploration_event
0.732,narrative_event_new_writing
0.744,exploration_event
0.755,reflection_sentence
0.767,exploration_event
0.778,insight_generated
0.790,narrative_event_new_writing
0.801,exploration_event
0.813,alternative_explored
0.824,narrative_event_refinement
0.836,reflection_inquiry
0.847,exploration_event
0.859,narrative_event_new_writing
0.870,insight_generated
0.882,exploration_event
0.893,reflection_insight
0.905,narrative_event_refinement
0.916,exploration_event
0.928,narrative_event_new_writing
0.939,insight_generated
0.951,reflection_inquiry
0.962,narrative_event_refinement
0.974,exploration_event
0.985,insight_generated
