timestamp_normalized,event_type
0.031,exploration_event
0.062,exploration_event
0.093,exploration_event
0.124,exploration_event
0.155,exploration_event
0.186,exploration_event
0.217,exploration_event
0.248,exploration_event
0.279,exploration_event
0.310,exploration_event
0.341,exploration_event
0.344,insight_generated
0.372,exploration_event
0.403,exploration_event
0.418,alternative_explored
0.434,exploration_event
0.451,alternative_explored
0.465,exploration_event
0.481,alternative_explored
0.496,exploration_event
0.512,alternative_explored
0.527,exploration_event
0.558,exploration_event
0.589,exploration_event
0.620,exploration_event
0.651,exploration_event
0.682,exploration_event
0.713,exploration_event
0.744,insight_generated
0.759,narrative_event_new_writing
0.774,insight_generated
0.789,narrative_event_new_writing
0.804,insight_generated
0.819,narrative_event_new_writing
0.834,insight_generated
0.849,narrative_event_new_writing
0.864,insight_generated
0.879,narrative_event_new_writing
0.894,insight_generated
0.909,narrative_event_new_writing
0.924,narrative_event_refinement
0.939,reflection_sentence
0.954,narrative_event_refinement
0.969,reflection_insight
0.984,narrative_event_refinement
0.991,reflection_sentence
0.995,reflection_sentence
