timestamp_normalized,event_type
0.011,exploration_event
0.021,exploration_event
0.032,exploration_event
0.043,narrative_event_new_writing
0.054,exploration_event
0.065,exploration_event
0.076,insight_generated
0.087,narrative_event_new_writing
0.098,exploration_event
0.109,alternative_explored
0.120,exploration_event
0.131,reflection_sentence
0.142,exploration_event
0.153,insight_generated
0.164,narrative_event_refinement
0.175,exploration_event
0.186,exploration_event
0.197,alternative_explored
0.208,exploration_event
0.219,reflection_insight
0.230,exploration_event
0.241,insight_generated
0.252,narrative_event_new_writing
0.263,exploration_event
0.274,reflection_sentence
0.285,exploration_event
0.296,alternative_explored
0.307,exploration_event
0.318,insight_generated
0.329,narrative_event_refinement
0.340,exploration_event
0.351,reflection_inquiry
0.362,exploration_event
0.373,insight_generated
0.384,narrative_event_new_writing
0.395,exploration_event
0.406,alternative_explored
0.417,exploration_event
0.428,reflection_insight
0.439,exploration_event
0.450,insight_generated
0.461,narrative_event_refinement
0.472,exploration_event
0.483,reflection_sentence
0.494,exploration_event
0.505,alternative_explored
0.516,exploration_event
0.527,insight_generated
0.538,narrative_event_new_writing
0.549,exploration_event
0.560,reflection_insight
0.571,exploration_event
0.582,insight_generated
0.593,narrative_event_refinement
0.604,exploration_event
0.615,alternative_explored
0.626,exploration_event
0.637,reflection_sentence
0.648,exploration_event
0.659,insight_generated
0.670,narrative_event_new_writing
0.681,exploration_event
0.692,reflection_inquiry
0.703,exploration_event
0.714,insight_generated
0.725,narrative_event_refinement
0.736,exploration_event
0.747,alternative_explored
0.758,exploration_event
0.769,reflection_insight
0.780,exploration_event
0.791,insight_generated
0.802,narrative_event_new_writing
0.813,exploration_event
0.824,reflection_sentence
0.835,exploration_event
0.846,insight_generated
0.857,narrative_event_refinement
0.868,exploration_event
0.879,alternative_explored
0.890,exploration_event
0.901,reflection_insight
0.912,exploration_event
0.934,narrative_event_new_writing
0.945,exploration_event
0.956,reflection_sentence
0.967,exploration_event
0.989,narrative_event_refinement
0.991,reflection_inquiry
0.995,narrative_event_new_writing
0.997,reflection_insight
