timestamp_normalized,event_type
0.040,exploration_event
0.080,exploration_event
0.120,exploration_event
0.160,exploration_event
0.200,exploration_event
0.240,exploration_event
0.280,exploration_event
0.320,exploration_event
0.360,exploration_event
0.400,exploration_event
0.440,exploration_event
0.455,reflection_sentence
0.480,exploration_event
0.495,insight_generated
0.520,exploration_event
0.535,reflection_sentence
0.560,insight_generated
0.575,reflection_sentence
0.590,exploration_event
0.605,insight_generated
0.620,exploration_event
0.635,reflection_sentence
0.650,alternative_explored
0.665,insight_generated
0.680,exploration_event
0.710,insight_generated
0.730,narrative_event_new_writing
0.750,exploration_event
0.770,insight_generated
0.790,narrative_event_new_writing
0.810,insight_generated
0.830,narrative_event_new_writing
0.850,insight_generated
0.870,narrative_event_refinement
0.885,narrative_event_new_writing
0.900,reflection_sentence
0.915,narrative_event_refinement
0.930,reflection_inquiry
0.945,reflection_sentence
0.960,narrative_event_refinement
0.975,reflection_insight
0.990,reflection_sentence
