timestamp_normalized,event_type
0.010,narrative_event_new_writing
0.020,exploration_event
0.030,insight_generated
0.040,narrative_event_refinement
0.050,exploration_event
0.060,insight_generated
0.080,exploration_event
0.090,insight_generated
0.100,narrative_event_new_writing
0.110,exploration_event
0.120,insight_generated
0.130,alternative_explored
0.140,exploration_event
0.150,insight_generated
0.160,reflection_sentence
0.170,exploration_event
0.180,insight_generated
0.190,narrative_event_refinement
0.200,exploration_event
0.210,insight_generated
0.220,reflection_insight
0.230,exploration_event
0.240,insight_generated
0.250,alternative_explored
0.260,exploration_event
0.270,insight_generated
0.280,narrative_event_new_writing
0.290,exploration_event
0.300,insight_generated
0.310,reflection_inquiry
0.320,exploration_event
0.330,insight_generated
0.340,narrative_event_refinement
0.350,exploration_event
0.360,insight_generated
0.370,alternative_explored
0.380,exploration_event
0.390,insight_generated
0.400,reflection_sentence
0.410,exploration_event
0.420,insight_generated
0.430,narrative_event_new_writing
0.440,exploration_event
0.450,insight_generated
0.460,reflection_insight
0.470,exploration_event
0.480,insight_generated
0.490,alternative_explored
0.500,exploration_event
0.510,insight_generated
0.520,narrative_event_refinement
0.530,exploration_event
0.540,insight_generated
0.550,reflection_inquiry
0.560,exploration_event
0.570,insight_generated
0.580,narrative_event_new_writing
0.590,exploration_event
0.600,insight_generated
0.610,alternative_explored
0.620,exploration_event
0.630,insight_generated
0.640,reflection_sentence
0.644,reflection_inquiry
0.650,exploration_event
0.660,insight_generated
0.670,narrative_event_refinement
0.680,exploration_event
0.690,insight_generated
0.700,reflection_insight
0.710,exploration_event
0.720,insight_generated
0.730,alternative_explored
0.740,exploration_event
0.750,insight_generated
0.760,narrative_event_new_writing
0.770,exploration_event
0.780,insight_generated
0.790,reflection_inquiry
0.800,exploration_event
0.810,insight_generated
0.820,narrative_event_refinement
0.830,exploration_event
0.840,insight_generated
0.850,reflection_sentence
0.860,exploration_event
0.870,insight_generated
0.880,narrative_event_new_writing
0.890,exploration_event
0.900,insight_generated
