timestamp_normalized,event_type
0.027,exploration_event
0.054,exploration_event
0.081,exploration_event
0.108,exploration_event
0.135,exploration_event
0.162,exploration_event
0.189,exploration_event
0.216,exploration_event
0.243,exploration_event
0.270,exploration_event
0.297,exploration_event
0.324,exploration_event
0.351,alternative_explored
0.378,exploration_event
0.405,exploration_event
0.432,alternative_explored
0.459,exploration_event
0.486,exploration_event
0.513,alternative_explored
0.540,exploration_event
0.567,exploration_event
0.594,alternative_explored
0.621,exploration_event
0.648,exploration_event
0.675,exploration_event
0.702,insight_generated
0.729,narrative_event_new_writing
0.742,reflection_sentence
0.756,insight_generated
0.769,narrative_event_new_writing
0.782,reflection_sentence
0.795,insight_generated
0.808,narrative_event_new_writing
0.821,reflection_sentence
0.834,insight_generated
0.847,narrative_event_new_writing
0.860,reflection_sentence
0.873,narrative_event_refinement
0.886,reflection_sentence
0.899,narrative_event_refinement
0.912,reflection_sentence
0.925,narrative_event_refinement
0.938,reflection_sentence
0.951,narrative_event_refinement
0.964,reflection_sentence
0.977,narrative_event_refinement
0.990,reflection_sentence
