timestamp_normalized,event_type
0.008,exploration_event
0.397,reflection_sentence
0.407,exploration_event
0.017,exploration_event
0.027,alternative_explored
0.899,exploration_event
0.901,reflection_insight
0.910,insight_generated
0.958,reflection_inquiry
0.967,narrative_event_new_writing
0.036,exploration_event
0.046,reflection_insight
0.055,exploration_event
0.065,alternative_explored
0.074,exploration_event
0.084,reflection_inquiry
0.093,exploration_event
0.103,alternative_explored
0.112,exploration_event
0.122,insight_generated
0.131,narrative_event_new_writing
0.141,exploration_event
0.150,alternative_explored
0.160,reflection_insight
0.169,exploration_event
0.179,exploration_event
0.188,insight_generated
0.198,narrative_event_new_writing
0.207,alternative_explored
0.217,exploration_event
0.226,reflection_sentence
0.236,exploration_event
0.245,alternative_explored
0.255,reflection_insight
0.264,exploration_event
0.274,insight_generated
0.283,narrative_event_new_writing
0.293,exploration_event
0.302,alternative_explored
0.312,exploration_event
0.321,reflection_insight
0.331,exploration_event
0.340,alternative_explored
0.350,insight_generated
0.359,narrative_event_new_writing
0.369,exploration_event
0.378,alternative_explored
0.388,exploration_event
0.397,reflection_sentence
0.407,exploration_event
0.416,alternative_explored
0.426,reflection_insight
0.435,insight_generated
0.445,narrative_event_refinement
0.454,exploration_event
0.464,alternative_explored
0.473,exploration_event
0.483,reflection_sentence
0.492,exploration_event
0.502,alternative_explored
0.511,reflection_insight
0.521,insight_generated
0.530,narrative_event_new_writing
0.540,exploration_event
0.549,alternative_explored
0.559,exploration_event
0.568,reflection_inquiry
0.578,exploration_event
0.587,alternative_explored
0.597,reflection_insight
0.606,insight_generated
0.616,narrative_event_refinement
0.625,exploration_event
0.635,alternative_explored
0.644,exploration_event
0.654,reflection_insight
0.663,exploration_event
0.673,alternative_explored
0.682,insight_generated
0.692,narrative_event_new_writing
0.701,exploration_event
0.711,alternative_explored
0.720,exploration_event
0.730,reflection_sentence
0.739,exploration_event
0.749,alternative_explored
0.758,reflection_insight
0.768,insight_generated
0.777,narrative_event_refinement
0.787,exploration_event
0.796,reflection_insight
0.806,narrative_event_new_writing
0.815,exploration_event
0.825,insight_generated
0.834,narrative_event_refinement
0.844,reflection_sentence
0.853,narrative_event_new_writing
0.863,insight_generated
0.872,reflection_insight
0.882,narrative_event_refinement
0.891,exploration_event
0.901,reflection_insight
0.920,narrative_event_new_writing
0.929,reflection_insight
0.939,narrative_event_refinement
0.958,reflection_inquiry
0.967,narrative_event_new_writing
0.977,reflection_insight
