timestamp_normalized,event_type
0.015,exploration_event
0.041,exploration_event
0.067,exploration_event
0.093,exploration_event
0.119,exploration_event
0.145,exploration_event
0.171,exploration_event
0.197,exploration_event
0.223,exploration_event
0.249,exploration_event
0.275,exploration_event
0.301,exploration_event
0.327,exploration_event
0.353,exploration_event
0.379,exploration_event
0.405,exploration_event
0.431,exploration_event
0.458,insight_generated
0.458,alternative_explored
0.457,exploration_event
0.483,exploration_event
0.509,exploration_event
0.535,exploration_event
0.561,exploration_event
0.568,alternative_explored
0.587,exploration_event
0.613,exploration_event
0.639,exploration_event
0.665,exploration_event
0.691,exploration_event
0.717,exploration_event
0.743,exploration_event
0.658,insight_generated
0.691,narrative_event_new_writing
0.724,insight_generated
0.757,narrative_event_new_writing
0.790,insight_generated
0.823,narrative_event_new_writing
0.856,reflection_sentence
0.889,insight_generated
0.922,narrative_event_new_writing
0.955,reflection_insight
0.966,reflection_sentence
0.977,reflection_sentence
0.988,reflection_sentence
0.999,reflection_insight
0.929,narrative_event_refinement
0.945,narrative_event_refinement
0.961,narrative_event_refinement
0.977,narrative_event_refinement
0.993,narrative_event_refinement
