timestamp_normalized,event_type
0.012,exploration_event
0.037,exploration_event
0.054,insight_generated
0.065,narrative_event_new_writing
0.073,reflection_insight
0.091,exploration_event
0.103,insight_generated
0.118,narrative_event_new_writing
0.138,exploration_event
0.150,alternative_explored
0.162,narrative_event_new_writing
0.170,reflection_sentence
0.184,insight_generated
0.196,exploration_event
0.215,exploration_event
0.234,insight_generated
0.247,narrative_event_refinement
0.257,narrative_event_new_writing
0.272,exploration_event
0.288,insight_generated
0.302,narrative_event_new_writing
0.310,reflection_insight
0.325,alternative_explored
0.337,narrative_event_refinement
0.348,exploration_event
0.369,insight_generated
0.379,reflection_sentence
0.399,exploration_event
0.414,narrative_event_new_writing
0.429,insight_generated
0.445,exploration_event
0.460,alternative_explored
0.475,narrative_event_refinement
0.489,insight_generated
0.506,exploration_event
0.523,reflection_inquiry
0.540,narrative_event_new_writing
0.558,exploration_event
0.569,insight_generated
0.585,narrative_event_new_writing
0.595,reflection_sentence
0.610,exploration_event
0.624,insight_generated
0.636,narrative_event_refinement
0.646,alternative_explored
0.667,exploration_event
0.678,narrative_event_new_writing
0.688,insight_generated
0.695,reflection_inquiry
0.701,reflection_insight
0.715,exploration_event
0.727,alternative_explored
0.738,exploration_event
0.749,narrative_event_refinement
0.763,insight_generated
0.778,narrative_event_new_writing
0.793,reflection_sentence
0.807,exploration_event
0.815,insight_generated
0.832,narrative_event_new_writing
0.848,reflection_inquiry
0.860,exploration_event
0.889,narrative_event_refinement
0.902,exploration_event
0.915,alternative_explored
0.928,narrative_event_new_writing
0.939,reflection_insight
