timestamp_normalized,event_type
0.033,exploration_event
0.066,exploration_event
0.099,exploration_event
0.132,exploration_event
0.165,exploration_event
0.198,exploration_event
0.231,exploration_event
0.264,exploration_event
0.297,exploration_event
0.330,exploration_event
0.363,exploration_event
0.375,alternative_explored
0.396,exploration_event
0.425,alternative_explored
0.429,exploration_event
0.462,exploration_event
0.495,exploration_event
0.528,exploration_event
0.561,exploration_event
0.594,exploration_event
0.627,exploration_event
0.660,insight_generated
0.678,narrative_event_new_writing
0.696,insight_generated
0.714,narrative_event_new_writing
0.700,insight_generated
0.733,narrative_event_new_writing
0.766,insight_generated
0.799,narrative_event_new_writing
0.832,insight_generated
0.865,reflection_sentence
0.898,narrative_event_new_writing
0.931,reflection_insight
0.942,reflection_sentence
0.953,reflection_sentence
0.964,reflection_sentence
0.975,reflection_insight
0.986,reflection_sentence
0.997,reflection_sentence
