timestamp_normalized,event_type
0.008,exploration_event
0.011,exploration_event
0.014,exploration_event
0.016,insight_generated
0.017,exploration_event
0.031,narrative_event_new_writing
0.046,exploration_event
0.063,reflection_insight
0.065,narrative_event_new_writing
0.080,exploration_event
0.095,exploration_event
0.110,alternative_explored
0.125,exploration_event
0.140,insight_generated
0.155,narrative_event_new_writing
0.170,exploration_event
0.185,reflection_sentence
0.215,exploration_event
0.230,exploration_event
0.232,exploration_event
0.234,alternative_explored
0.249,insight_generated
0.264,narrative_event_new_writing
0.279,exploration_event
0.294,reflection_sentence
0.309,exploration_event
0.324,insight_generated
0.339,narrative_event_refinement
0.354,exploration_event
0.369,alternative_explored
0.384,exploration_event
0.399,reflection_inquiry
0.428,exploration_event
0.443,exploration_event
0.458,insight_generated
0.473,narrative_event_new_writing
0.488,exploration_event
0.503,reflection_insight
0.518,exploration_event
0.533,alternative_explored
0.548,exploration_event
0.563,insight_generated
0.578,narrative_event_new_writing
0.593,exploration_event
0.608,exploration_event
0.623,reflection_sentence
0.638,exploration_event
0.653,insight_generated
0.668,narrative_event_refinement
0.683,exploration_event
0.698,alternative_explored
0.713,exploration_event
0.743,exploration_event
0.745,exploration_event
0.747,exploration_event
0.749,insight_generated
0.751,insight_generated
0.766,narrative_event_new_writing
0.781,exploration_event
0.796,reflection_inquiry
0.811,exploration_event
0.841,narrative_event_refinement
0.856,exploration_event
0.871,alternative_explored
0.886,exploration_event
0.901,reflection_insight
0.916,narrative_event_new_writing
0.931,exploration_event
0.961,narrative_event_refinement
0.976,reflection_insight
0.978,exploration_event
0.980,narrative_event_new_writing
0.984,reflection_sentence
0.986,narrative_event_refinement
0.990,reflection_insight
0.992,narrative_event_new_writing
0.996,exploration_event
0.998,reflection_sentence
