timestamp_normalized,event_type
0.028,exploration_event
0.056,exploration_event
0.084,exploration_event
0.112,exploration_event
0.140,exploration_event
0.168,exploration_event
0.196,exploration_event
0.224,exploration_event
0.252,exploration_event
0.280,exploration_event
0.308,exploration_event
0.336,exploration_event
0.344,insight_generated
0.364,alternative_explored
0.392,exploration_event
0.420,exploration_event
0.448,alternative_explored
0.476,exploration_event
0.481,reflection_sentence
0.504,exploration_event
0.524,insight_generated
0.532,alternative_explored
0.560,exploration_event
0.588,exploration_event
0.616,exploration_event
0.691,reflection_sentence
0.644,exploration_event
0.672,exploration_event
0.700,exploration_event
0.728,insight_generated
0.746,narrative_event_new_writing
0.764,insight_generated
0.782,narrative_event_new_writing
0.800,insight_generated
0.816,reflection_insight
0.832,narrative_event_new_writing
0.848,insight_generated
0.864,narrative_event_new_writing
0.880,insight_generated
0.896,narrative_event_new_writing
0.912,narrative_event_refinement
0.928,reflection_insight
0.944,narrative_event_refinement
0.960,narrative_event_refinement
0.976,reflection_insight
0.992,narrative_event_refinement
