timestamp_normalized,event_type
0.009,exploration_event
0.018,exploration_event
0.027,reflection_sentence
0.036,exploration_event
0.045,narrative_event_new_writing
0.054,exploration_event
0.063,exploration_event
0.072,insight_generated
0.081,narrative_event_new_writing
0.090,exploration_event
0.099,alternative_explored
0.108,exploration_event
0.117,reflection_inquiry
0.126,exploration_event
0.135,insight_generated
0.144,narrative_event_refinement
0.153,exploration_event
0.162,reflection_insight
0.171,exploration_event
0.180,alternative_explored
0.189,exploration_event
0.198,insight_generated
0.207,narrative_event_new_writing
0.216,exploration_event
0.225,reflection_sentence
0.234,exploration_event
0.243,alternative_explored
0.252,exploration_event
0.261,insight_generated
0.270,narrative_event_refinement
0.279,exploration_event
0.288,reflection_insight
0.297,exploration_event
0.306,insight_generated
0.315,narrative_event_new_writing
0.324,exploration_event
0.333,alternative_explored
0.342,exploration_event
0.351,reflection_sentence
0.360,exploration_event
0.369,insight_generated
0.378,narrative_event_refinement
0.387,exploration_event
0.396,reflection_inquiry
0.405,exploration_event
0.414,alternative_explored
0.423,exploration_event
0.432,insight_generated
0.441,narrative_event_new_writing
0.450,exploration_event
0.459,reflection_insight
0.468,exploration_event
0.477,insight_generated
0.486,narrative_event_refinement
0.495,exploration_event
0.504,alternative_explored
0.513,exploration_event
0.522,reflection_sentence
0.531,exploration_event
0.540,insight_generated
0.549,narrative_event_new_writing
0.558,exploration_event
0.567,reflection_insight
0.576,exploration_event
0.585,insight_generated
0.594,narrative_event_refinement
0.603,exploration_event
0.612,alternative_explored
0.621,exploration_event
0.630,reflection_sentence
0.639,exploration_event
0.648,insight_generated
0.657,narrative_event_new_writing
0.666,exploration_event
0.675,reflection_inquiry
0.684,exploration_event
0.693,insight_generated
0.702,narrative_event_refinement
0.711,exploration_event
0.720,alternative_explored
0.729,exploration_event
0.738,reflection_insight
0.747,exploration_event
0.756,insight_generated
0.765,narrative_event_new_writing
0.774,exploration_event
0.783,reflection_sentence
0.792,exploration_event
0.801,insight_generated
0.810,narrative_event_refinement
0.819,exploration_event
0.828,reflection_insight
0.837,exploration_event
0.846,insight_generated
0.855,narrative_event_new_writing
0.864,exploration_event
0.873,alternative_explored
0.882,exploration_event
0.891,reflection_sentence
0.900,insight_generated
0.909,narrative_event_refinement
0.918,exploration_event
0.927,reflection_inquiry
0.945,narrative_event_new_writing
0.954,exploration_event
0.963,reflection_insight
0.981,narrative_event_refinement
0.990,reflection_sentence
