timestamp_normalized,event_type
0.035,exploration_event
0.070,exploration_event
0.105,exploration_event
0.140,exploration_event
0.175,exploration_event
0.210,exploration_event
0.245,exploration_event
0.280,exploration_event
0.275,alternative_explored
0.315,exploration_event
0.350,exploration_event
0.385,exploration_event
0.420,exploration_event
0.455,exploration_event
0.490,exploration_event
0.525,exploration_event
0.560,exploration_event
0.575,alternative_explored
0.595,exploration_event
0.630,exploration_event
0.665,exploration_event
0.700,exploration_event
0.770,exploration_event
0.805,insight_generated
0.840,narrative_event_new_writing
0.875,exploration_event
0.910,insight_generated
0.930,reflection_sentence
0.945,reflection_insight
0.960,reflection_sentence
0.975,reflection_sentence
0.985,reflection_insight
0.990,reflection_sentence
0.995,reflection_sentence
0.895,insight_generated
0.915,narrative_event_new_writing
0.935,insight_generated
0.955,narrative_event_new_writing
0.975,insight_generated
0.995,narrative_event_new_writing
