timestamp_normalized,event_type
0.008,exploration_event
0.015,exploration_event
0.023,exploration_event
0.031,narrative_event_new_writing
0.039,exploration_event
0.047,exploration_event
0.055,insight_generated
0.063,narrative_event_new_writing
0.071,exploration_event
0.079,alternative_explored
0.087,exploration_event
0.095,insight_generated
0.103,insight_generated
0.111,narrative_event_new_writing
0.119,exploration_event
0.127,reflection_sentence
0.135,exploration_event
0.143,alternative_explored
0.151,exploration_event
0.159,insight_generated
0.167,narrative_event_refinement
0.175,exploration_event
0.183,exploration_event
0.191,reflection_insight
0.199,exploration_event
0.207,insight_generated
0.215,narrative_event_new_writing
0.223,exploration_event
0.231,alternative_explored
0.239,exploration_event
0.247,insight_generated
0.255,reflection_sentence
0.263,exploration_event
0.271,insight_generated
0.279,narrative_event_refinement
0.287,exploration_event
0.295,alternative_explored
0.303,exploration_event
0.311,reflection_inquiry
0.319,exploration_event
0.327,insight_generated
0.335,narrative_event_new_writing
0.343,exploration_event
0.351,exploration_event
0.359,alternative_explored
0.367,exploration_event
0.375,reflection_insight
0.383,exploration_event
0.391,insight_generated
0.399,narrative_event_refinement
0.407,exploration_event
0.415,insight_generated
0.423,narrative_event_new_writing
0.431,exploration_event
0.439,alternative_explored
0.447,exploration_event
0.455,reflection_sentence
0.463,exploration_event
0.471,insight_generated
0.479,narrative_event_refinement
0.487,exploration_event
0.495,reflection_insight
0.503,exploration_event
0.511,insight_generated
0.519,narrative_event_new_writing
0.527,exploration_event
0.535,exploration_event
0.543,alternative_explored
0.551,exploration_event
0.559,insight_generated
0.567,reflection_inquiry
0.575,exploration_event
0.583,insight_generated
0.591,narrative_event_refinement
0.599,exploration_event
0.607,alternative_explored
0.615,exploration_event
0.623,reflection_sentence
0.631,exploration_event
0.639,insight_generated
0.647,narrative_event_new_writing
0.655,exploration_event
0.663,reflection_insight
0.671,exploration_event
0.679,insight_generated
0.687,narrative_event_refinement
0.695,exploration_event
0.703,alternative_explored
0.711,exploration_event
0.719,insight_generated
0.727,narrative_event_new_writing
0.735,exploration_event
0.743,reflection_sentence
0.751,exploration_event
0.759,insight_generated
0.767,narrative_event_refinement
0.775,exploration_event
0.783,reflection_insight
0.791,exploration_event
0.799,insight_generated
0.807,narrative_event_new_writing
0.815,exploration_event
0.823,alternative_explored
0.831,exploration_event
0.839,reflection_inquiry
0.847,exploration_event
0.855,insight_generated
0.863,narrative_event_refinement
0.871,exploration_event
0.879,insight_generated
0.887,narrative_event_new_writing
0.895,exploration_event
0.903,reflection_sentence
0.919,narrative_event_refinement
0.927,exploration_event
0.935,reflection_insight
0.951,narrative_event_new_writing
0.959,exploration_event
0.975,narrative_event_refinement
0.983,reflection_sentence
0.999,narrative_event_new_writing
