timestamp_normalized,event_type
0.025,exploration_event
0.050,exploration_event
0.075,exploration_event
0.100,exploration_event
0.125,exploration_event
0.150,exploration_event
0.175,exploration_event
0.200,exploration_event
0.225,exploration_event
0.250,insight_generated
0.250,exploration_event
0.275,exploration_event
0.300,exploration_event
0.325,exploration_event
0.350,exploration_event
0.375,exploration_event
0.400,exploration_event
0.425,exploration_event
0.450,exploration_event
0.465,reflection_sentence
0.475,alternative_explored
0.475,exploration_event
0.500,exploration_event
0.525,exploration_event
0.550,exploration_event
0.575,exploration_event
0.600,exploration_event
0.625,exploration_event
0.650,exploration_event
0.675,exploration_event
0.685,alternative_explored
0.700,exploration_event
0.725,exploration_event
0.750,exploration_event
0.775,exploration_event
0.800,insight_generated
0.820,narrative_event_new_writing
0.840,insight_generated
0.860,narrative_event_new_writing
0.880,insight_generated
0.846,exploration_event
0.864,insight_generated
0.882,narrative_event_new_writing
0.900,exploration_event
0.925,reflection_sentence
0.940,reflection_insight
0.955,reflection_sentence
0.970,reflection_sentence
0.985,reflection_insight
0.995,reflection_sentence
0.920,insight_generated
0.940,narrative_event_new_writing
0.960,insight_generated
0.980,narrative_event_new_writing
