timestamp_normalized,event_type
0.005,exploration_event
0.012,exploration_event
0.033,exploration_event
0.040,exploration_event
0.047,insight_generated
0.054,narrative_event_new_writing
0.061,exploration_event
0.068,alternative_explored
0.075,exploration_event
0.082,reflection_sentence
0.089,exploration_event
0.096,insight_generated
0.103,narrative_event_new_writing
0.110,exploration_event
0.117,exploration_event
0.124,alternative_explored
0.131,exploration_event
0.138,reflection_insight
0.145,exploration_event
0.152,insight_generated
0.159,narrative_event_refinement
0.166,exploration_event
0.173,exploration_event
0.180,alternative_explored
0.187,exploration_event
0.194,insight_generated
0.201,insight_generated
0.208,narrative_event_new_writing
0.215,exploration_event
0.222,reflection_sentence
0.229,exploration_event
0.236,alternative_explored
0.243,exploration_event
0.250,insight_generated
0.257,narrative_event_refinement
0.264,exploration_event
0.271,exploration_event
0.278,reflection_inquiry
0.285,exploration_event
0.292,alternative_explored
0.299,exploration_event
0.306,insight_generated
0.313,narrative_event_new_writing
0.320,exploration_event
0.327,reflection_insight
0.334,exploration_event
0.341,insight_generated
0.348,narrative_event_refinement
0.355,exploration_event
0.362,alternative_explored
0.369,exploration_event
0.376,reflection_sentence
0.383,exploration_event
0.390,insight_generated
0.397,narrative_event_new_writing
0.404,exploration_event
0.411,exploration_event
0.418,alternative_explored
0.425,exploration_event
0.432,reflection_insight
0.439,exploration_event
0.446,insight_generated
0.453,narrative_event_refinement
0.460,exploration_event
0.467,reflection_inquiry
0.474,exploration_event
0.481,insight_generated
0.488,narrative_event_new_writing
0.495,exploration_event
0.502,reflection_sentence
0.509,exploration_event
0.516,alternative_explored
0.523,exploration_event
0.530,insight_generated
0.537,narrative_event_refinement
0.544,exploration_event
0.551,reflection_insight
0.558,exploration_event
0.565,insight_generated
0.572,narrative_event_new_writing
0.579,exploration_event
0.586,alternative_explored
0.593,exploration_event
0.600,reflection_sentence
0.607,exploration_event
0.614,insight_generated
0.621,narrative_event_refinement
0.628,exploration_event
0.635,exploration_event
0.642,alternative_explored
0.649,exploration_event
0.656,reflection_inquiry
0.663,exploration_event
0.670,insight_generated
0.677,narrative_event_new_writing
0.684,exploration_event
0.691,reflection_insight
0.698,exploration_event
0.705,insight_generated
0.712,narrative_event_refinement
0.719,exploration_event
0.726,reflection_sentence
0.733,exploration_event
0.740,insight_generated
0.747,narrative_event_new_writing
0.754,exploration_event
0.761,alternative_explored
0.768,exploration_event
0.775,reflection_insight
0.782,exploration_event
0.789,insight_generated
0.796,narrative_event_refinement
0.803,exploration_event
0.810,reflection_sentence
0.817,insight_generated
0.824,narrative_event_new_writing
0.831,exploration_event
0.838,reflection_inquiry
0.845,insight_generated
0.852,narrative_event_refinement
0.859,exploration_event
0.866,reflection_insight
0.873,narrative_event_new_writing
0.880,exploration_event
0.887,insight_generated
0.894,narrative_event_refinement
