timestamp_normalized,event_type
0.020,exploration_event
0.045,exploration_event
0.070,exploration_event
0.095,exploration_event
0.120,exploration_event
0.145,exploration_event
0.170,exploration_event
0.195,exploration_event
0.220,exploration_event
0.245,exploration_event
0.270,exploration_event
0.295,exploration_event
0.320,exploration_event
0.345,exploration_event
0.370,exploration_event
0.395,alternative_explored
0.420,exploration_event
0.445,exploration_event
0.470,alternative_explored
0.495,exploration_event
0.520,exploration_event
0.545,exploration_event
0.570,exploration_event
0.595,exploration_event
0.620,exploration_event
0.645,exploration_event
0.670,exploration_event
0.695,exploration_event
0.720,insight_generated
0.740,narrative_event_new_writing
0.760,insight_generated
0.780,narrative_event_new_writing
0.800,insight_generated
0.820,narrative_event_new_writing
0.840,insight_generated
0.860,narrative_event_new_writing
0.880,reflection_inquiry
0.895,narrative_event_new_writing
0.910,insight_generated
0.925,narrative_event_refinement
0.940,reflection_sentence
0.955,narrative_event_refinement
0.970,reflection_sentence
0.985,narrative_event_refinement
0.991,reflection_insight
0.995,reflection_sentence
