timestamp_normalized,event_type
0.008,exploration_event
0.016,exploration_event
0.024,reflection_sentence
0.032,exploration_event
0.040,exploration_event
0.048,narrative_event_new_writing
0.056,exploration_event
0.072,exploration_event
0.080,insight_generated
0.088,narrative_event_new_writing
0.096,exploration_event
0.104,alternative_explored
0.112,exploration_event
0.120,reflection_insight
0.128,exploration_event
0.136,insight_generated
0.144,narrative_event_new_writing
0.152,exploration_event
0.160,exploration_event
0.168,alternative_explored
0.176,exploration_event
0.184,reflection_sentence
0.192,exploration_event
0.200,insight_generated
0.208,narrative_event_refinement
0.216,exploration_event
0.224,alternative_explored
0.232,exploration_event
0.240,reflection_insight
0.248,exploration_event
0.256,insight_generated
0.264,narrative_event_new_writing
0.272,exploration_event
0.280,reflection_sentence
0.288,exploration_event
0.296,alternative_explored
0.304,exploration_event
0.312,insight_generated
0.320,narrative_event_refinement
0.328,exploration_event
0.336,reflection_inquiry
0.344,exploration_event
0.352,insight_generated
0.360,narrative_event_new_writing
0.368,exploration_event
0.376,alternative_explored
0.384,exploration_event
0.392,reflection_insight
0.400,exploration_event
0.408,insight_generated
0.416,narrative_event_refinement
0.424,exploration_event
0.432,reflection_sentence
0.440,exploration_event
0.448,insight_generated
0.456,narrative_event_new_writing
0.464,exploration_event
0.472,alternative_explored
0.480,exploration_event
0.488,insight_generated
0.496,narrative_event_refinement
0.504,exploration_event
0.512,reflection_sentence
0.520,exploration_event
0.528,insight_generated
0.536,narrative_event_new_writing
0.544,exploration_event
0.552,alternative_explored
0.560,exploration_event
0.568,reflection_inquiry
0.576,exploration_event
0.584,insight_generated
0.592,narrative_event_refinement
0.600,exploration_event
0.608,reflection_insight
0.616,exploration_event
0.624,insight_generated
0.632,narrative_event_new_writing
0.640,exploration_event
0.648,alternative_explored
0.656,exploration_event
0.664,reflection_sentence
0.672,exploration_event
0.680,insight_generated
0.688,narrative_event_refinement
0.696,exploration_event
0.704,reflection_insight
0.712,exploration_event
0.720,insight_generated
0.728,narrative_event_new_writing
0.736,exploration_event
0.744,alternative_explored
0.752,exploration_event
0.760,reflection_sentence
0.768,exploration_event
0.776,insight_generated
0.784,narrative_event_refinement
0.792,exploration_event
0.800,reflection_inquiry
0.808,exploration_event
0.816,insight_generated
0.824,narrative_event_new_writing
0.832,exploration_event
0.840,reflection_insight
0.848,exploration_event
0.856,insight_generated
0.864,narrative_event_refinement
0.872,exploration_event
0.880,reflection_sentence
0.888,insight_generated
0.896,narrative_event_refinement
0.910,reflection_inquiry
