timestamp_normalized,event_type
0.032,exploration_event
0.064,exploration_event
0.096,exploration_event
0.128,exploration_event
0.160,exploration_event
0.192,exploration_event
0.224,exploration_event
0.256,exploration_event
0.281,reflection_sentence
0.288,exploration_event
0.320,alternative_explored
0.352,exploration_event
0.344,insight_generated
0.384,exploration_event
0.416,alternative_explored
0.428,alternative_explored
0.448,exploration_event
0.463,alternative_explored
0.480,exploration_event
0.491,reflection_sentence
0.495,alternative_explored
0.544,exploration_event
0.576,exploration_event
0.608,alternative_explored
0.640,exploration_event
0.672,exploration_event
0.704,alternative_explored
0.736,insight_generated
0.756,narrative_event_new_writing
0.776,insight_generated
0.796,narrative_event_new_writing
0.816,insight_generated
0.836,narrative_event_new_writing
0.856,insight_generated
0.876,narrative_event_new_writing
0.896,insight_generated
0.916,narrative_event_new_writing
0.936,insight_generated
0.956,narrative_event_refinement
0.976,narrative_event_refinement
0.980,reflection_sentence
0.985,reflection_insight
0.990,reflection_sentence
0.993,reflection_sentence
0.996,reflection_insight
0.999,reflection_sentence
