timestamp_normalized,event_type
0.012,exploration_event
0.015,exploration_event
0.018,exploration_event
0.034,narrative_event_new_writing
0.047,exploration_event
0.060,exploration_event
0.073,insight_generated
0.086,narrative_event_new_writing
0.099,exploration_event
0.112,alternative_explored
0.125,exploration_event
0.138,reflection_sentence
0.151,exploration_event
0.164,insight_generated
0.177,narrative_event_refinement
0.190,exploration_event
0.203,reflection_insight
0.216,exploration_event
0.229,alternative_explored
0.242,exploration_event
0.255,insight_generated
0.268,narrative_event_new_writing
0.295,exploration_event
0.298,exploration_event
0.301,exploration_event
0.304,alternative_explored
0.307,insight_generated
0.320,narrative_event_refinement
0.333,exploration_event
0.346,reflection_sentence
0.359,exploration_event
0.372,insight_generated
0.385,narrative_event_new_writing
0.398,exploration_event
0.411,alternative_explored
0.424,exploration_event
0.437,reflection_inquiry
0.450,exploration_event
0.463,insight_generated
0.476,narrative_event_refinement
0.489,exploration_event
0.502,reflection_insight
0.515,exploration_event
0.528,alternative_explored
0.541,exploration_event
0.554,insight_generated
0.567,narrative_event_new_writing
0.580,exploration_event
0.593,reflection_sentence
0.606,exploration_event
0.619,insight_generated
0.632,narrative_event_refinement
0.645,exploration_event
0.658,alternative_explored
0.671,exploration_event
0.684,reflection_insight
0.697,exploration_event
0.710,insight_generated
0.723,narrative_event_new_writing
0.736,exploration_event
0.749,reflection_sentence
0.762,exploration_event
0.775,insight_generated
0.788,narrative_event_refinement
0.801,exploration_event
0.814,alternative_explored
0.827,exploration_event
0.840,reflection_inquiry
0.853,exploration_event
0.866,insight_generated
0.879,narrative_event_new_writing
0.892,exploration_event
0.905,reflection_insight
0.918,exploration_event
0.944,narrative_event_refinement
0.957,exploration_event
0.970,reflection_sentence
0.996,narrative_event_new_writing
