timestamp_normalized,event_type
0.055,exploration_event
0.110,exploration_event
0.165,exploration_event
0.193,alternative_explored
0.220,exploration_event
0.275,exploration_event
0.330,exploration_event
0.385,exploration_event
0.440,exploration_event
0.495,exploration_event
0.550,exploration_event
0.605,exploration_event
0.628,alternative_explored
0.660,exploration_event
0.687,alternative_explored
0.615,insight_generated
0.725,alternative_explored
0.745,narrative_event_new_writing
0.775,insight_generated
0.805,narrative_event_new_writing
0.835,insight_generated
0.845,insight_generated
0.855,exploration_event
0.810,insight_generated
0.865,narrative_event_new_writing
0.920,reflection_sentence
0.935,reflection_insight
0.950,reflection_sentence
0.965,reflection_sentence
0.980,reflection_insight
0.990,reflection_sentence
0.995,reflection_sentence
0.895,insight_generated
0.925,narrative_event_new_writing
0.955,insight_generated
0.985,narrative_event_new_writing
