timestamp_normalized,event_type
0.015,exploration_event
0.030,exploration_event
0.075,exploration_event
0.090,exploration_event
0.105,insight_generated
0.120,narrative_event_new_writing
0.135,exploration_event
0.150,alternative_explored
0.165,exploration_event
0.180,reflection_sentence
0.195,exploration_event
0.210,insight_generated
0.225,narrative_event_refinement
0.240,exploration_event
0.255,exploration_event
0.290,exploration_event
0.295,exploration_event
0.300,alternative_explored
0.315,exploration_event
0.330,reflection_insight
0.345,exploration_event
0.360,insight_generated
0.375,narrative_event_new_writing
0.390,exploration_event
0.405,reflection_sentence
0.420,exploration_event
0.435,alternative_explored
0.450,exploration_event
0.465,insight_generated
0.480,narrative_event_refinement
0.495,exploration_event
0.510,reflection_inquiry
0.525,exploration_event
0.540,insight_generated
0.555,narrative_event_new_writing
0.570,exploration_event
0.585,alternative_explored
0.600,exploration_event
0.615,reflection_insight
0.630,exploration_event
0.645,insight_generated
0.660,narrative_event_refinement
0.675,exploration_event
0.690,reflection_sentence
0.705,exploration_event
0.720,alternative_explored
0.735,exploration_event
0.750,insight_generated
0.765,narrative_event_new_writing
0.780,exploration_event
0.795,reflection_insight
0.810,exploration_event
0.825,insight_generated
0.840,narrative_event_refinement
0.855,exploration_event
0.870,alternative_explored
0.885,exploration_event
0.900,reflection_sentence
0.915,exploration_event
0.945,narrative_event_new_writing
0.947,exploration_event
0.949,exploration_event
0.953,narrative_event_refinement
0.955,reflection_inquiry
0.957,exploration_event
0.959,insight_generated
0.961,narrative_event_new_writing
0.963,reflection_insight
0.965,exploration_event
0.969,narrative_event_refinement
0.971,reflection_sentence
0.973,exploration_event
0.975,insight_generated
0.977,narrative_event_new_writing
0.979,alternative_explored
0.981,exploration_event
0.983,reflection_insights
0.987,narrative_event_refinement
0.989,reflection_sentence
0.991,exploration_event
0.995,narrative_event_new_writing
0.997,reflection_inquiry
