timestamp_normalized,event_type
0.018,exploration_event
0.036,exploration_event
0.054,exploration_event
0.072,exploration_event
0.090,exploration_event
0.108,exploration_event
0.126,exploration_event
0.144,exploration_event
0.162,exploration_event
0.180,exploration_event
0.198,exploration_event
0.216,exploration_event
0.234,exploration_event
0.252,exploration_event
0.270,exploration_event
0.288,exploration_event
0.306,exploration_event
0.324,exploration_event
0.342,exploration_event
0.360,exploration_event
0.378,exploration_event
0.396,exploration_event
0.414,exploration_event
0.425,alternative_explored
0.432,exploration_event
0.450,exploration_event
0.468,exploration_event
0.483,alternative_explored
0.486,exploration_event
0.504,exploration_event
0.522,exploration_event
0.540,exploration_event
0.552,alternative_explored
0.558,exploration_event
0.576,exploration_event
0.594,exploration_event
0.612,exploration_event
0.630,exploration_event
0.648,exploration_event
0.666,exploration_event
0.684,exploration_event
0.502,insight_generated
0.720,narrative_event_new_writing
0.738,insight_generated
0.756,narrative_event_new_writing
0.774,insight_generated
0.792,narrative_event_new_writing
0.810,insight_generated
0.828,narrative_event_new_writing
0.846,insight_generated
0.864,narrative_event_new_writing
0.882,insight_generated
0.900,narrative_event_new_writing
0.918,narrative_event_refinement
0.936,narrative_event_refinement
0.954,narrative_event_refinement
0.972,narrative_event_refinement
0.975,reflection_sentence
0.980,reflection_insight
0.985,reflection_sentence
0.990,reflection_sentence
0.993,reflection_insight
0.996,reflection_sentence
0.999,reflection_sentence
