timestamp_normalized,event_type
0.008,exploration_event
0.017,exploration_event
0.029,exploration_event
0.042,narrative_event_new_writing
0.055,exploration_event
0.068,exploration_event
0.081,insight_generated
0.094,narrative_event_new_writing
0.107,exploration_event
0.120,alternative_explored
0.133,exploration_event
0.146,reflection_sentence
0.159,exploration_event
0.172,insight_generated
0.185,narrative_event_refinement
0.198,exploration_event
0.211,exploration_event
0.224,alternative_explored
0.237,exploration_event
0.250,reflection_insight
0.263,exploration_event
0.276,insight_generated
0.289,narrative_event_new_writing
0.302,exploration_event
0.315,reflection_sentence
0.328,exploration_event
0.341,alternative_explored
0.354,exploration_event
0.367,insight_generated
0.380,narrative_event_refinement
0.393,exploration_event
0.406,reflection_inquiry
0.419,exploration_event
0.432,insight_generated
0.445,narrative_event_new_writing
0.458,exploration_event
0.471,alternative_explored
0.484,exploration_event
0.497,reflection_insight
0.510,exploration_event
0.523,insight_generated
0.536,narrative_event_refinement
0.549,exploration_event
0.562,reflection_sentence
0.575,exploration_event
0.588,alternative_explored
0.601,exploration_event
0.614,insight_generated
0.627,narrative_event_new_writing
0.640,exploration_event
0.653,reflection_insight
0.666,exploration_event
0.679,insight_generated
0.692,narrative_event_refinement
0.705,exploration_event
0.718,alternative_explored
0.731,exploration_event
0.744,reflection_sentence
0.757,exploration_event
0.770,insight_generated
0.783,narrative_event_new_writing
0.796,exploration_event
0.809,reflection_inquiry
0.822,exploration_event
0.835,insight_generated
0.848,narrative_event_refinement
0.861,exploration_event
0.874,alternative_explored
0.887,exploration_event
0.900,reflection_insight
0.913,exploration_event
0.926,insight_generated
0.939,narrative_event_new_writing
0.952,exploration_event
0.965,reflection_sentence
0.978,insight_generated
0.991,narrative_event_refinement
