timestamp_normalized,event_type
0.026,exploration_event
0.052,exploration_event
0.078,exploration_event
0.104,exploration_event
0.130,exploration_event
0.170,insight_generated
0.156,exploration_event
0.182,exploration_event
0.208,exploration_event
0.234,exploration_event
0.260,exploration_event
0.286,exploration_event
0.312,exploration_event
0.338,alternative_explored
0.358,exploration_event
0.364,exploration_event
0.390,exploration_event
0.416,exploration_event
0.442,exploration_event
0.468,exploration_event
0.494,exploration_event
0.520,exploration_event
0.546,exploration_event
0.572,exploration_event
0.598,exploration_event
0.624,exploration_event
0.650,exploration_event
0.676,exploration_event
0.702,insight_generated
0.716,narrative_event_new_writing
0.730,insight_generated
0.744,narrative_event_new_writing
0.758,insight_generated
0.768,alternative_explored
0.782,narrative_event_new_writing
0.784,alternative_explored
0.786,insight_generated
0.800,narrative_event_new_writing
0.814,insight_generated
0.828,narrative_event_new_writing
0.842,reflection_sentence
0.856,narrative_event_refinement
0.870,reflection_sentence
0.884,narrative_event_refinement
0.898,reflection_sentence
0.912,narrative_event_refinement
0.926,reflection_sentence
0.940,narrative_event_refinement
0.954,reflection_sentence
0.968,narrative_event_refinement
0.982,reflection_sentence
0.996,narrative_event_refinement
