timestamp_normalized,event_type
0.010,exploration_event
0.021,exploration_event
0.033,exploration_event
0.045,narrative_event_new_writing
0.057,exploration_event
0.069,exploration_event
0.081,insight_generated
0.093,narrative_event_new_writing
0.105,exploration_event
0.117,reflection_sentence
0.129,exploration_event
0.141,alternative_explored
0.153,exploration_event
0.165,insight_generated
0.177,narrative_event_refinement
0.189,exploration_event
0.201,reflection_insight
0.213,exploration_event
0.225,alternative_explored
0.237,exploration_event
0.249,insight_generated
0.261,narrative_event_new_writing
0.273,exploration_event
0.285,reflection_sentence
0.297,exploration_event
0.309,alternative_explored
0.321,exploration_event
0.333,insight_generated
0.345,reflection_inquiry
0.357,exploration_event
0.369,narrative_event_refinement
0.381,exploration_event
0.393,alternative_explored
0.405,exploration_event
0.417,reflection_insight
0.429,exploration_event
0.441,insight_generated
0.453,narrative_event_new_writing
0.465,exploration_event
0.477,reflection_sentence
0.489,exploration_event
0.501,alternative_explored
0.513,exploration_event
0.525,insight_generated
0.537,narrative_event_refinement
0.549,exploration_event
0.561,reflection_insight
0.573,exploration_event
0.585,insight_generated
0.597,narrative_event_new_writing
0.609,exploration_event
0.621,alternative_explored
0.633,exploration_event
0.645,reflection_sentence
0.657,exploration_event
0.669,insight_generated
0.681,narrative_event_refinement
0.693,exploration_event
0.705,reflection_inquiry
0.717,exploration_event
0.729,alternative_explored
0.741,exploration_event
0.753,insight_generated
0.765,reflection_insight
0.777,exploration_event
0.789,narrative_event_new_writing
0.801,exploration_event
0.813,reflection_sentence
0.825,exploration_event
0.837,insight_generated
0.849,narrative_event_refinement
0.861,exploration_event
0.873,alternative_explored
0.885,exploration_event
0.897,reflection_insight
0.909,exploration_event
0.933,narrative_event_refinement
0.945,reflection_sentence
0.957,exploration_event
0.981,narrative_event_new_writing
0.993,reflection_inquiry
