timestamp_normalized,event_type
0.030,exploration_event
0.060,exploration_event
0.090,exploration_event
0.120,exploration_event
0.150,exploration_event
0.180,exploration_event
0.210,exploration_event
0.240,exploration_event
0.270,exploration_event
0.300,exploration_event
0.330,exploration_event
0.360,exploration_event
0.390,exploration_event
0.420,exploration_event
0.450,exploration_event
0.480,exploration_event
0.510,exploration_event
0.540,exploration_event
0.570,exploration_event
0.600,exploration_event
0.630,exploration_event
0.660,exploration_event
0.690,exploration_event
0.720,exploration_event
0.750,exploration_event
0.566,insight_generated
0.896,narrative_event_new_writing
0.920,reflection_sentence
0.935,reflection_insight
0.950,reflection_sentence
0.965,reflection_sentence
0.980,reflection_insight
0.990,reflection_sentence
0.995,reflection_sentence
0.704,insight_generated
0.816,narrative_event_new_writing
0.828,insight_generated
0.840,narrative_event_new_writing
0.852,insight_generated
0.864,narrative_event_new_writing
0.876,insight_generated
0.888,narrative_event_new_writing
0.900,insight_generated
0.912,narrative_event_new_writing
0.924,insight_generated
0.936,narrative_event_new_writing
0.848,insight_generated
0.960,narrative_event_new_writing
0.872,insight_generated
0.984,narrative_event_new_writing
0.896,insight_generated
