timestamp_normalized,event_type
0.005,exploration_event
0.009,exploration_event
0.013,exploration_event
0.017,exploration_event
0.032,narrative_event_new_writing
0.046,exploration_event
0.060,exploration_event
0.074,insight_generated
0.088,narrative_event_new_writing
0.102,exploration_event
0.116,alternative_explored
0.130,exploration_event
0.144,reflection_sentence
0.158,exploration_event
0.172,insight_generated
0.186,narrative_event_refinement
0.200,exploration_event
0.214,exploration_event
0.228,alternative_explored
0.242,exploration_event
0.256,reflection_insight
0.270,exploration_event
0.284,insight_generated
0.298,narrative_event_new_writing
0.312,exploration_event
0.326,reflection_sentence
0.361,exploration_event
0.365,exploration_event
0.369,exploration_event
0.383,alternative_explored
0.397,exploration_event
0.411,insight_generated
0.425,insight_generated
0.439,narrative_event_refinement
0.453,exploration_event
0.467,reflection_inquiry
0.481,exploration_event
0.495,alternative_explored
0.509,exploration_event
0.523,insight_generated
0.537,narrative_event_new_writing
0.551,exploration_event
0.565,reflection_insight
0.579,exploration_event
0.593,insight_generated
0.607,narrative_event_refinement
0.621,exploration_event
0.635,alternative_explored
0.649,exploration_event
0.663,reflection_sentence
0.677,exploration_event
0.691,insight_generated
0.705,narrative_event_new_writing
0.719,exploration_event
0.733,exploration_event
0.747,alternative_explored
0.761,exploration_event
0.775,reflection_insight
0.789,exploration_event
0.803,insight_generated
0.817,narrative_event_refinement
0.831,exploration_event
0.845,reflection_sentence
0.859,exploration_event
0.873,insight_generated
0.887,narrative_event_new_writing
0.901,exploration_event
0.915,alternative_explored
0.929,exploration_event
0.943,reflection_inquiry
0.957,exploration_event
0.975,narrative_event_refinement
0.977,reflection_insight
0.979,narrative_event_new_writing
0.981,exploration_event
0.985,narrative_event_refinement
0.987,reflection_sentence
0.991,narrative_event_new_writing
0.993,exploration_event
0.995,reflection_inquiry
0.999,narrative_event_refinement
