timestamp_normalized,event_type
0.025,exploration_event
0.055,exploration_event
0.085,exploration_event
0.115,exploration_event
0.128,alternative_explored
0.145,exploration_event
0.175,exploration_event
0.205,exploration_event
0.235,exploration_event
0.265,exploration_event
0.295,exploration_event
0.325,exploration_event
0.340,reflection_sentence
0.355,exploration_event
0.370,insight_generated
0.385,exploration_event
0.400,reflection_sentence
0.415,exploration_event
0.430,insight_generated
0.445,exploration_event
0.460,reflection_sentence
0.475,alternative_explored
0.490,reflection_sentence
0.505,exploration_event
0.520,insight_generated
0.535,exploration_event
0.550,reflection_sentence
0.565,exploration_event
0.580,insight_generated
0.595,exploration_event
0.625,exploration_event
0.655,exploration_event
0.685,exploration_event
0.715,insight_generated
0.735,narrative_event_new_writing
0.755,insight_generated
0.775,narrative_event_new_writing
0.795,insight_generated
0.815,narrative_event_new_writing
0.835,insight_generated
0.855,narrative_event_new_writing
0.875,insight_generated
0.890,narrative_event_refinement
0.905,reflection_sentence
0.920,narrative_event_refinement
0.935,reflection_inquiry
0.950,narrative_event_refinement
0.965,reflection_sentence
0.980,reflection_insight
0.995,reflection_sentence
