timestamp_normalized,event_type
0.01,narrative_event_new_writing
0.02,exploration_event
0.03,narrative_event_new_writing
0.04,narrative_event_new_writing
0.05,insight_generated
0.05,alternative_explored
0.06,alternative_explored
0.08,exploration_event
0.09,narrative_event_new_writing
0.09,exploration_event
0.10,insight_generated
0.11,exploration_event
0.12,reflection_insight
0.13,alternative_explored
0.14,alternative_explored
0.15,exploration_event
0.16,exploration_event
0.17,reflection_insight
0.18,insight_generated
0.19,narrative_event_new_writing
0.20,insight_generated
0.21,alternative_explored
0.23,exploration_event
0.24,narrative_event_new_writing
0.25,alternative_explored
0.26,exploration_event
0.27,exploration_event
0.28,reflection_sentence
0.29,reflection_sentence
0.30,insight_generated
0.31,alternative_explored
0.33,narrative_event_new_writing
0.34,exploration_event
0.35,exploration_event
0.36,insight_generated
0.37,alternative_explored
0.38,reflection_inquiry
0.39,insight_generated
0.40,insight_generated
0.41,reflection_inquiry
0.42,alternative_explored
0.44,exploration_event
0.45,exploration_event
0.46,narrative_event_refinement
0.47,narrative_event_refinement
0.48,reflection_insight
0.50,insight_generated
0.51,exploration_event
0.52,alternative_explored
0.53,reflection_inquiry
0.54,exploration_event
0.55,alternative_explored
0.56,insight_generated
0.57,exploration_event
0.58,reflection_inquiry
0.59,insight_generated
0.60,insight_generated
0.61,alternative_explored
0.63,narrative_event_new_writing
0.64,exploration_event
0.65,exploration_event
0.66,narrative_event_new_writing
0.67,alternative_explored
0.68,reflection_sentence
0.69,reflection_sentence
0.70,insight_generated
0.71,exploration_event
0.72,alternative_explored
0.74,exploration_event
0.75,insight_generated
0.76,insight_generated
0.77,reflection_inquiry
0.78,reflection_inquiry
0.79,exploration_event
0.80,insight_generated
0.81,alternative_explored
0.83,narrative_event_refinement
0.84,exploration_event
0.85,exploration_event
0.86,narrative_event_refinement
0.88,reflection_insight
0.89,reflection_insight
0.90,insight_generated
0.91,exploration_event
0.94,exploration_event
0.95,insight_generated
0.96,insight_generated
0.97,exploration_event
0.98,reflection_inquiry
