timestamp_normalized,event_type
0.030,exploration_event
0.065,exploration_event
0.100,exploration_event
0.135,exploration_event
0.170,exploration_event
0.205,exploration_event
0.240,exploration_event
0.275,alternative_explored
0.310,exploration_event
0.345,exploration_event
0.380,exploration_event
0.395,reflection_sentence
0.415,exploration_event
0.430,insight_generated
0.450,alternative_explored
0.465,reflection_sentence
0.485,exploration_event
0.500,insight_generated
0.520,exploration_event
0.535,reflection_sentence
0.555,exploration_event
0.570,insight_generated
0.590,exploration_event
0.605,reflection_sentence
0.625,alternative_explored
0.660,exploration_event
0.690,insight_generated
0.710,narrative_event_new_writing
0.730,insight_generated
0.750,narrative_event_new_writing
0.770,insight_generated
0.790,narrative_event_new_writing
0.810,insight_generated
0.830,narrative_event_refinement
0.850,insight_generated
0.870,narrative_event_new_writing
0.885,reflection_sentence
0.900,narrative_event_refinement
0.915,reflection_inquiry
0.930,narrative_event_refinement
0.945,reflection_sentence
0.960,narrative_event_refinement
0.975,reflection_insight
0.990,reflection_sentence
