timestamp_normalized,event_type
0.008,narrative_event_new_writing
0.016,exploration_event
0.024,insight_generated
0.032,narrative_event_new_writing
0.040,exploration_event
0.048,exploration_event
0.056,insight_generated
0.072,exploration_event
0.080,insight_generated
0.088,narrative_event_refinement
0.096,exploration_event
0.104,alternative_explored
0.112,insight_generated
0.120,reflection_sentence
0.128,exploration_event
0.136,insight_generated
0.144,narrative_event_new_writing
0.152,exploration_event
0.160,insight_generated
0.168,alternative_explored
0.176,exploration_event
0.184,reflection_insight
0.192,insight_generated
0.200,narrative_event_refinement
0.208,exploration_event
0.216,insight_generated
0.224,reflection_inquiry
0.232,exploration_event
0.240,insight_generated
0.248,alternative_explored
0.256,exploration_event
0.264,insight_generated
0.272,narrative_event_new_writing
0.280,exploration_event
0.288,reflection_sentence
0.296,insight_generated
0.304,exploration_event
0.312,insight_generated
0.320,narrative_event_refinement
0.328,exploration_event
0.336,alternative_explored
0.344,insight_generated
0.352,reflection_insight
0.360,exploration_event
0.368,insight_generated
0.376,narrative_event_new_writing
0.384,exploration_event
0.392,insight_generated
0.400,reflection_inquiry
0.408,exploration_event
0.416,insight_generated
0.424,alternative_explored
0.432,exploration_event
0.440,insight_generated
0.448,narrative_event_refinement
0.456,exploration_event
0.464,reflection_sentence
0.472,insight_generated
0.480,exploration_event
0.488,insight_generated
0.496,alternative_explored
0.504,exploration_event
0.512,insight_generated
0.520,narrative_event_new_writing
0.528,exploration_event
0.536,reflection_insight
0.544,insight_generated
0.552,exploration_event
0.560,insight_generated
0.568,narrative_event_refinement
0.576,exploration_event
0.584,alternative_explored
0.592,insight_generated
0.600,reflection_inquiry
0.608,exploration_event
0.616,insight_generated
0.624,narrative_event_new_writing
0.632,exploration_event
0.640,insight_generated
0.648,reflection_sentence
0.656,exploration_event
0.664,insight_generated
0.672,alternative_explored
0.680,exploration_event
0.688,insight_generated
0.696,narrative_event_refinement
0.704,exploration_event
0.712,reflection_insight
0.720,insight_generated
0.728,exploration_event
0.736,insight_generated
0.744,narrative_event_new_writing
0.752,exploration_event
0.760,insight_generated
0.768,reflection_inquiry
0.776,exploration_event
0.784,insight_generated
0.792,alternative_explored
0.800,exploration_event
0.808,insight_generated
0.816,narrative_event_refinement
0.824,exploration_event
0.832,reflection_sentence
0.840,insight_generated
0.848,exploration_event
0.856,insight_generated
0.864,narrative_event_new_writing
0.872,exploration_event
0.880,reflection_insight
0.888,insight_generated
0.896,exploration_event
