timestamp_normalized,event_type
0.024,exploration_event
0.048,exploration_event
0.072,exploration_event
0.096,exploration_event
0.120,exploration_event
0.144,exploration_event
0.168,exploration_event
0.192,exploration_event
0.216,exploration_event
0.240,exploration_event
0.264,exploration_event
0.288,exploration_event
0.312,alternative_explored
0.336,exploration_event
0.351,reflection_sentence
0.360,exploration_event
0.384,alternative_explored
0.408,exploration_event
0.432,exploration_event
0.456,alternative_explored
0.464,insight_generated
0.480,exploration_event
0.491,reflection_sentence
0.504,exploration_event
0.552,exploration_event
0.576,exploration_event
0.600,alternative_explored
0.624,exploration_event
0.648,exploration_event
0.672,alternative_explored
0.696,exploration_event
0.720,insight_generated
0.738,narrative_event_new_writing
0.756,insight_generated
0.774,narrative_event_new_writing
0.792,insight_generated
0.810,narrative_event_new_writing
0.828,insight_generated
0.846,narrative_event_new_writing
0.864,insight_generated
0.882,narrative_event_new_writing
0.900,reflection_inquiry
0.918,narrative_event_refinement
0.936,narrative_event_refinement
0.954,narrative_event_refinement
0.972,narrative_event_refinement
0.975,reflection_sentence
0.980,reflection_insight
0.985,reflection_sentence
0.990,reflection_sentence
0.993,reflection_insight
0.996,reflection_sentence
