timestamp_normalized,event_type
0.006,exploration_event
0.014,exploration_event
0.022,exploration_event
0.031,narrative_event_new_writing
0.040,exploration_event
0.049,exploration_event
0.058,insight_generated
0.067,narrative_event_new_writing
0.076,exploration_event
0.085,alternative_explored
0.094,exploration_event
0.103,reflection_sentence
0.112,exploration_event
0.121,insight_generated
0.130,narrative_event_refinement
0.139,exploration_event
0.148,alternative_explored
0.157,exploration_event
0.166,reflection_inquiry
0.175,exploration_event
0.184,insight_generated
0.193,narrative_event_new_writing
0.202,exploration_event
0.211,alternative_explored
0.220,exploration_event
0.229,reflection_insight
0.238,exploration_event
0.247,insight_generated
0.256,narrative_event_refinement
0.265,exploration_event
0.274,alternative_explored
0.283,exploration_event
0.292,reflection_sentence
0.301,exploration_event
0.310,insight_generated
0.319,narrative_event_new_writing
0.328,exploration_event
0.337,alternative_explored
0.346,exploration_event
0.355,reflection_insight
0.364,exploration_event
0.373,insight_generated
0.382,narrative_event_refinement
0.391,exploration_event
0.400,alternative_explored
0.409,exploration_event
0.418,reflection_sentence
0.427,exploration_event
0.436,insight_generated
0.445,narrative_event_new_writing
0.454,exploration_event
0.463,alternative_explored
0.472,exploration_event
0.481,reflection_inquiry
0.490,exploration_event
0.499,insight_generated
0.508,narrative_event_refinement
0.517,exploration_event
0.526,alternative_explored
0.535,exploration_event
0.544,reflection_insight
0.553,exploration_event
0.562,insight_generated
0.571,narrative_event_new_writing
0.580,exploration_event
0.589,alternative_explored
0.598,exploration_event
0.607,reflection_sentence
0.616,exploration_event
0.625,insight_generated
0.634,narrative_event_refinement
0.643,exploration_event
0.652,alternative_explored
0.661,exploration_event
0.670,reflection_insight
0.679,exploration_event
0.688,insight_generated
0.697,narrative_event_new_writing
0.706,exploration_event
0.715,reflection_sentence
0.724,exploration_event
0.733,insight_generated
0.742,narrative_event_refinement
0.751,exploration_event
0.760,alternative_explored
0.769,exploration_event
0.778,reflection_insight
0.787,exploration_event
0.796,insight_generated
0.805,narrative_event_new_writing
0.814,exploration_event
0.823,reflection_inquiry
0.832,exploration_event
0.841,insight_generated
0.850,narrative_event_refinement
0.859,exploration_event
0.868,reflection_sentence
0.877,insight_generated
0.886,narrative_event_new_writing
0.895,exploration_event
0.904,reflection_insight
0.913,insight_generated
0.922,narrative_event_refinement
0.931,exploration_event
0.949,narrative_event_new_writing
0.958,reflection_sentence
0.976,narrative_event_refinement
0.985,exploration_event
