timestamp_normalized,event_type
0.022,exploration_event
0.044,exploration_event
0.066,exploration_event
0.088,exploration_event
0.110,exploration_event
0.132,exploration_event
0.154,exploration_event
0.176,exploration_event
0.198,exploration_event
0.206,alternative_explored
0.220,exploration_event
0.242,exploration_event
0.264,exploration_event
0.286,exploration_event
0.308,exploration_event
0.330,exploration_event
0.352,exploration_event
0.374,exploration_event
0.396,exploration_event
0.418,exploration_event
0.440,exploration_event
0.462,exploration_event
0.484,insight_generated
0.506,exploration_event
0.528,exploration_event
0.550,insight_generated
0.572,exploration_event
0.594,exploration_event
0.616,exploration_event
0.634,alternative_explored
0.638,exploration_event
0.660,exploration_event
0.682,exploration_event
0.695,alternative_explored
0.704,insight_generated
0.722,narrative_event_new_writing
0.740,insight_generated
0.758,narrative_event_new_writing
0.773,alternative_explored
0.776,insight_generated
0.794,narrative_event_new_writing
0.812,insight_generated
0.830,narrative_event_new_writing
0.848,insight_generated
0.866,narrative_event_new_writing
0.884,insight_generated
0.902,narrative_event_new_writing
0.920,narrative_event_refinement
0.892,exploration_event
0.915,insight_generated
0.938,narrative_event_refinement
0.961,reflection_insight
0.984,narrative_event_refinement
0.987,reflection_sentence
0.990,reflection_sentence
0.993,reflection_insight
0.996,reflection_sentence
0.999,reflection_sentence
0.956,narrative_event_refinement
0.974,narrative_event_refinement
0.992,narrative_event_refinement
