timestamp_normalized,event_type
0.009,exploration_event
0.017,exploration_event
0.025,exploration_event
0.026,insight_generated
0.034,narrative_event_new_writing
0.043,exploration_event
0.052,exploration_event
0.061,insight_generated
0.070,narrative_event_new_writing
0.079,exploration_event
0.088,alternative_explored
0.097,exploration_event
0.106,reflection_sentence
0.115,exploration_event
0.124,insight_generated
0.133,narrative_event_refinement
0.142,exploration_event
0.151,exploration_event
0.160,alternative_explored
0.169,exploration_event
0.178,reflection_insight
0.187,exploration_event
0.196,insight_generated
0.205,narrative_event_new_writing
0.214,exploration_event
0.223,reflection_sentence
0.232,exploration_event
0.241,alternative_explored
0.250,exploration_event
0.259,insight_generated
0.268,narrative_event_refinement
0.277,exploration_event
0.286,reflection_inquiry
0.295,exploration_event
0.304,insight_generated
0.313,narrative_event_new_writing
0.322,exploration_event
0.331,alternative_explored
0.340,exploration_event
0.349,reflection_insight
0.358,exploration_event
0.367,insight_generated
0.376,narrative_event_refinement
0.385,exploration_event
0.394,reflection_sentence
0.403,exploration_event
0.412,alternative_explored
0.421,exploration_event
0.430,insight_generated
0.439,narrative_event_new_writing
0.448,exploration_event
0.457,reflection_insight
0.466,exploration_event
0.475,insight_generated
0.484,narrative_event_refinement
0.493,exploration_event
0.502,alternative_explored
0.511,exploration_event
0.520,reflection_sentence
0.529,exploration_event
0.538,insight_generated
0.547,narrative_event_new_writing
0.556,exploration_event
0.565,reflection_inquiry
0.574,exploration_event
0.583,insight_generated
0.592,narrative_event_refinement
0.601,exploration_event
0.610,alternative_explored
0.619,exploration_event
0.628,reflection_insight
0.637,exploration_event
0.646,insight_generated
0.655,narrative_event_new_writing
0.664,exploration_event
0.673,reflection_sentence
0.682,exploration_event
0.691,insight_generated
0.700,narrative_event_refinement
0.709,exploration_event
0.718,alternative_explored
0.727,exploration_event
0.736,reflection_insight
0.745,exploration_event
0.754,insight_generated
0.763,narrative_event_new_writing
0.772,exploration_event
0.781,reflection_sentence
0.790,exploration_event
0.799,insight_generated
0.808,narrative_event_refinement
0.817,exploration_event
0.826,reflection_inquiry
0.835,exploration_event
0.844,insight_generated
0.853,narrative_event_new_writing
0.862,exploration_event
0.871,reflection_insight
0.880,insight_generated
0.889,narrative_event_refinement
0.898,exploration_event
0.907,reflection_sentence
0.925,narrative_event_new_writing
0.934,exploration_event
0.952,narrative_event_refinement
0.961,reflection_insight
0.979,narrative_event_new_writing
0.988,reflection_sentence
