participant_id,insights_generated_baseline,insights_generated_ns,insights_generated_diff,insights_generated_pct_change,branches_created_baseline,branches_created_ns,branches_created_diff,branches_created_pct_change,reflection_events_baseline,reflection_events_ns,reflection_events_diff,reflection_events_pct_change,reflection_edit_coupled_baseline,reflection_edit_coupled_ns,reflection_edit_coupled_diff,reflection_edit_coupled_pct_change
597fe89a1b41a20001749f57,7.0,5.0,-2.0,-28.57142857142857,3.0,3.0,0.0,0.0,4.0,3.0,-1.0,-25.0,3.0,0.0,-3.0,-100.0
5f4520ebb012170878012efc,7.0,6.0,-1.0,-14.285714285714285,3.0,4.0,1.0,33.33333333333333,4.0,3.0,-1.0,-25.0,4.0,0.0,-4.0,-100.0
607668ac450fc6e3025a131d,6.0,5.0,-1.0,-16.666666666666664,0.0,3.0,3.0,300.0,0.0,3.0,3.0,300.0,0.0,0.0,0.0,0.0
65a3ec77f674ac3e98f0c6ac,4.0,4.0,0.0,0.0,4.0,3.0,-1.0,-25.0,9.0,5.0,-4.0,-44.44444444444444,5.0,0.0,-5.0,-100.0
65f335ba737e19c6aad352aa,5.0,6.0,1.0,20.0,0.0,5.0,5.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65fb1b3b8d6f60e342ea6b1e,10.0,9.0,-1.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660f0bec13b0a3246eeef533,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,-3.0,-100.0
66b9af8ca020d514f5131634,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66bd001bdff5991cf61b905e,5.0,6.0,1.0,20.0,0.0,3.0,3.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66c4942d5a2a99590aab49e3,5.0,4.0,-1.0,-20.0,2.0,3.0,1.0,50.0,1.0,2.0,1.0,100.0,1.0,0.0,-1.0,-100.0
6720a60024247ebe665ab489,6.0,5.0,-1.0,-16.666666666666664,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673757f92aa69c13b7841d90,5.0,4.0,-1.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6752dee37db379c454e9b066,6.0,6.0,0.0,0.0,0.0,3.0,3.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67ab608b798c9ff1f3b2d6e5,5.0,4.0,-1.0,-20.0,0.0,3.0,3.0,300.0,6.0,5.0,-1.0,-16.666666666666664,6.0,0.0,-6.0,-100.0
67c5a23d4c9dff71d41b6606,10.0,4.0,-6.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68185ed818a05008c861de87,5.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
682200baa4aa731275156f02,8.0,7.0,-1.0,-12.5,0.0,3.0,3.0,300.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0
