participant_id,condition,final_time,insights_generated,factors_explored,factors_included_in_story,factors_used_in_decision,branches_created,divergence_semantic_distance_avg,divergence_semantic_distance_min,divergence_semantic_distance_max,reflection_events,reflection_edit_coupled
597fe89a1b41a20001749f57,Baseline,29.45,7,5,,2,3,,,,4,3
597fe89a1b41a20001749f57,NS,31.12,12,7,,4,7,,,,11,4
5f4520ebb012170878012efc,Baseline,30.89,7,4,,3,3,,,,4,2
5f4520ebb012170878012efc,NS,32.34,11,6,,3,6,,,,13,5
607668ac450fc6e3025a131d,Baseline,28.77,6,5,,2,4,,,,4,2
607668ac450fc6e3025a131d,NS,30.29,16,8,,4,8,,,,15,6
65a3ec77f674ac3e98f0c6ac,Baseline,31.54,4,6,,3,6,,,,9,5
65a3ec77f674ac3e98f0c6ac,NS,33.01,15,8,,5,18,,,,25,6
65f335ba737e19c6aad352aa,Baseline,30.22,4,4,,2,3,,,,6,4
65f335ba737e19c6aad352aa,NS,31.49,14,6,,3,6,,,,11,5
65fb1b3b8d6f60e342ea6b1e,Baseline,28.95,5,5,,3,3,,,,8,4
65fb1b3b8d6f60e342ea6b1e,NS,30.31,14,7,,4,6,,,,12,5
660f0bec13b0a3246eeef533,Baseline,29.67,5,5,,2,3,,,,3,3
660f0bec13b0a3246eeef533,NS,31.45,19,8,,4,9,,,,19,8
66b9af8ca020d514f5131634,Baseline,29.11,5,4,,2,3,,,,7,3
66b9af8ca020d514f5131634,NS,30.99,25,7,,3,10,,,,16,3
66bd001bdff5991cf61b905e,Baseline,31.02,6,6,,3,2,,,,6,2
66bd001bdff5991cf61b905e,NS,32.86,25,8,,5,11,,,,22,7
66c4942d5a2a99590aab49e3,Baseline,30.44,5,8,,3,2,,,,5,3
66c4942d5a2a99590aab49e3,NS,32.17,31,6,,4,10,,,,32,12
6720a60024247ebe665ab489,Baseline,29.98,6,4,,2,5,,,,6,4
6720a60024247ebe665ab489,NS,31.21,13,7,,3,7,,,,11,5
673757f92aa69c13b7841d90,Baseline,28.65,6,5,,2,2,,,,7,2
673757f92aa69c13b7841d90,NS,30.23,16,5,,3,7,,,,14,5
6752dee37db379c454e9b066,Baseline,29.57,6,4,,3,4,,,,7,3
6752dee37db379c454e9b066,NS,31.32,12,6,,3,7,,,,11,4
67ab608b798c9ff1f3b2d6e5,Baseline,31.25,5,5,,2,4,,,,6,6
67ab608b798c9ff1f3b2d6e5,NS,32.67,12,7,,4,8,,,,14,5
67c5a23d4c9dff71d41b6606,Baseline,30.39,10,6,,3,2,,,,7,4
67c5a23d4c9dff71d41b6606,NS,31.84,15,8,,4,7,,,,12,3
68185ed818a05008c861de87,Baseline,28.88,5,3,,1,1,,,,7,5
68185ed818a05008c861de87,NS,30.49,19,6,,3,11,,,,16,5
682200baa4aa731275156f02,Baseline,29.34,9,7,,2,3,,,,6,3
682200baa4aa731275156f02,NS,31.12,20,8,,4,8,,,,18,6
67d04df508cbefc7f62262d7,Baseline,,,,,,,,,,,
67d04df508cbefc7f62262d7,NS,,,,,,,,,,,
6126d4c32bc8aa3eadcfdc1a,Baseline,,,,,,,,,,,
6126d4c32bc8aa3eadcfdc1a,NS,,,,,,,,,,,
67ed03f8b32e7ae314a8b373,Baseline,,,,,,,,,,,
67ed03f8b32e7ae314a8b373,NS,,,,,,,,,,,
